"Title","Rates of detention (per 100,000) under the Mental Health Act 1983 by specific ethnic group"
"Location","England"
"Time period","2016/17"
"Data source","Mental Health Services Dataset"
"Data source link","http://content.digital.nhs.uk/mhsds"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","Number per 100,000"
"Bangladeshi","107.6"
"Indian","53.2"
"Pakistani","97.4"
"Asian other","109.3"
"Black African","176.7"
"Black Caribbean","249.6"
"Black other","690.6"
"Mixed White/Asian","78.8"
"Mixed White/Black African","177.8"
"Mixed White/Black Caribbean","157.4"
"Mixed other","230.9"
"White British","64.3"
"White Irish","69.5"
"White other","132.8"
"Chinese","47.8"
"Any other","436.2"
