"Ethnicity","Highest qualification",""
"All","All","77%"
"All","Level 4 and above","86%"
"All","Level 3","82%"
"All","Level 2","74%"
"All","Below level 2","69%"
"All","Other qualifications","75%"
"All","No qualifications","44%"
"Asian","All","69%"
"Asian","Level 4 and above","82%"
"Asian","Level 3","68%"
"Asian","Level 2","64%"
"Asian","Below level 2","58%"
"Asian","Other qualifications","64%"
"Asian","No qualifications","39%"
"Black","All","73%"
"Black","Level 4 and above","85%"
"Black","Level 3","75%"
"Black","Level 2","64%"
"Black","Below level 2","58%"
"Black","Other qualifications","67%"
"Black","No qualifications","42%"
"Mixed","All","71%"
"Mixed","Level 4 and above","84%"
"Mixed","Level 3","78%"
"Mixed","Level 2","61%"
"Mixed","Below level 2","54%"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","39%"
"White","All","78%"
"White","Level 4 and above","87%"
"White","Level 3","83%"
"White","Level 2","75%"
"White","Below level 2","70%"
"White","Other qualifications","78%"
"White","No qualifications","45%"
"Other","All","69%"
"Other","Level 4 and above","77%"
"Other","Level 3","71%"
"Other","Level 2","60%"
"Other","Below level 2","50%"
"Other","Other qualifications","69%"
"Other","No qualifications","45%"
