"Ethnicity","Highest qualification",""
"White","All","83%"
"White","Level 4 and above","90%"
"White","Level 3","86%"
"White","Level 2","81%"
"White","Below Level 2","78%"
"White","Other qualifications","84%"
"White","No qualifications","53%"
"Mixed","All","75%"
"Mixed","Level 4 and above","88%"
"Mixed","Level 3","81%"
"Mixed","Level 2","69%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"Asian","All","83%"
"Asian","Level 4 and above","91%"
"Asian","Level 3","78%"
"Asian","Level 2","76%"
"Asian","Below Level 2","78%"
"Asian","Other qualifications","82%"
"Asian","No qualifications","61%"
"Black ","All","77%"
"Black ","Level 4 and above","89%"
"Black ","Level 3","85%"
"Black ","Level 2","67%"
"Black ","Below Level 2","67%"
"Black ","Other qualifications","78%"
"Black ","No qualifications","40%"
"Other","All","79%"
"Other","Level 4 and above","86%"
"Other","Level 3","80%"
"Other","Level 2","70%"
"Other","Below Level 2","?"
"Other","Other qualifications","78%"
"Other","No qualifications","62%"
"All","All","83%"
"All","Level 4 and above","90%"
"All","Level 3","86%"
"All","Level 2","80%"
"All","Below Level 2","78%"
"All","Other qualifications","83%"
"All","No qualifications","53%"
