"Title","Income spent on rent for new lettings of social housing","","","","","","",""
"Location","England","","","","","","",""
"Time period","2016/17","","","","","","",""
"Data source","Ministry of Housing, Communities and Local Government","","","","","","",""
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2016-to-march-2017","","","","","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk/","","","","","","",""
"Last updated","-","","","","","","",""
"Measure","Time","Time_type","Geography_code","Geography_name","Geography_type","Ethnicity","Ethnicity_type","Value"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","White: Irish","ONS 18+1","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","White: Other","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Mixed: White & Black Caribbean","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Mixed: White & Black African","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Mixed: White & Asian","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Mixed: Other","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Asian/Asian British: Indian","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Asian/Asian British: Pakistani","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Asian/Asian British: Bangladeshi","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Asian/Asian British: Other","ONS 18+1","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","47"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Black, African, Caribbean or Black British: African","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Black, African, Caribbean or Black British: Other","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Asian/Asian British: Chinese","ONS 18+1","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Other Ethnic group: Other","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","White: Gypsy, Irish Traveller","ONS 18+1","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Other Ethnic group: Arab","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Asian","ONS 5+1 2011","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Black","ONS 5+1 2011","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Mixed","ONS 5+1 2011","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","White","ONS 5+1 2011","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","Other","ONS 5+1 2011","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E92000001","England","Country","All","All","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","42"
