"Title","Employment by ethnicity and age group"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","December 2017"

"age_band","Ethnicity","%","Employed people"
"16-24","All","54","3,745,000"
"16-24","Asian","34","222,000"
"16-24","Indian","44","76,000"
"16-24","Pakistani and Bangladeshi","32","94,000"
"16-24","Asian other inc Chinese","29","52,000"
"16-24","Black","35","89,000"
"16-24","Mixed","48","88,000"
"16-24","White","58","3,305,000"
"16-24","White British","59","3,072,000"
"16-24","White other","55","233,000"
"16-24","Other","30","40,000"
"25-49","All","84","17,678,000"
"25-49","Asian","74","1,466,000"
"25-49","Indian","83","608,000"
"25-49","Pakistani and Bangladeshi","64","486,000"
"25-49","Asian other inc Chinese","75","372,000"
"25-49","Black","75","544,000"
"25-49","Mixed","81","229,000"
"25-49","White","86","15,068,000"
"25-49","White British","86","13,112,000"
"25-49","White other","87","1,956,000"
"25-49","Other","69","361,000"
"50-64","All","71","8,519,000"
"50-64","Asian","65","341,000"
"50-64","Indian","69","158,000"
"50-64","Pakistani and Bangladeshi","53","78,000"
"50-64","Asian other inc Chinese","71","105,000"
"50-64","Black","75","233,000"
"50-64","Mixed","64","46,000"
"50-64","White","71","7,808,000"
"50-64","White British","71","7,461,000"
"50-64","White other","73","347,000"
"50-64","Other","65","86,000"
"All (16-64)","All","75","29,943,000"
"All (16-64)","Asian","64","2,029,000"
"All (16-64)","Indian","74","842,000"
"All (16-64)","Pakistani and Bangladeshi","55","658,000"
"All (16-64)","Asian other inc Chinese","64","528,000"
"All (16-64)","Black","67","865,000"
"All (16-64)","Mixed","67","363,000"
"All (16-64)","White","77","26,181,000"
"All (16-64)","White British","76","23,645,000"
"All (16-64)","White other","81","2,536,000"
"All (16-64)","Other","62","486,000"
