"Title","Employment by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","December 2017"

"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","73","73","73","73","72","71","70","70","71","71","72","74","74","75"
"Asian","57","57","58","58","59","59","59","N/A","59","59","62","63","63","64"
"Indian","68","69","69","69","69","68","70","N/A","69","69","71","71","73","74"
"Pakistani and Bangladeshi","44","44","45","45","46","47","46","N/A","48","49","52","53","54","55"
"Asian other inc Chinese","58","60","60","61","64","63","59","N/A","60","59","62","64","63","64"
"Black","60","61","62","63","61","58","60","N/A","60","61","62","65","67","67"
"Mixed","62","62","65","63","60","60","61","N/A","60","62","63","65","64","67"
"White","74","74","74","74","74","72","72","N/A","72","73","74","75","76","77"
"White British","74","74","74","74","74","72","72","N/A","72","73","74","75","75","76"
"White other","71","73","74","75","75","74","74","N/A","75","76","77","79","80","81"
"Other","55","57","55","58","58","56","56","N/A","56","57","57","59","61","62"
