"Title","Employed 16 to 24 year olds by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","January 2004"

"DATE","Ethnicity","%"
"2004","All","60"
"2004","Indian","44"
"2004","Pakistani/Bangladeshi","33"
"2004","Asian other","34"
"2004","Black","36"
"2004","Mixed","49"
"2004","White British","63"
"2004","White other","56"
"2004","Other","36"
"2005","All","59"
"2005","Indian","42"
"2005","Pakistani/Bangladeshi","35"
"2005","Asian other","32"
"2005","Black","35"
"2005","Mixed","46"
"2005","White British","62"
"2005","White other","62"
"2005","Other","36"
"2006","All","58"
"2006","Indian","47"
"2006","Pakistani/Bangladeshi","36"
"2006","Asian other","32"
"2006","Black","38"
"2006","Mixed","49"
"2006","White British","61"
"2006","White other","65"
"2006","Other","34"
"2007","All","57"
"2007","Indian","45"
"2007","Pakistani/Bangladeshi","30"
"2007","Asian other","31"
"2007","Black","38"
"2007","Mixed","49"
"2007","White British","61"
"2007","White other","61"
"2007","Other","37"
"2008","All","56"
"2008","Indian","42"
"2008","Pakistani/Bangladeshi","34"
"2008","Asian other","33"
"2008","Black","31"
"2008","Mixed","44"
"2008","White British","59"
"2008","White other","63"
"2008","Other","37"
"2009","All","53"
"2009","Indian","37"
"2009","Pakistani/Bangladeshi","32"
"2009","Asian other","28"
"2009","Black","28"
"2009","Mixed","41"
"2009","White British","56"
"2009","White other","57"
"2009","Other","30"
"2010","All","50"
"2010","Indian","38"
"2010","Pakistani/Bangladeshi","30"
"2010","Asian other","22"
"2010","Black","27"
"2010","Mixed","36"
"2010","White British","54"
"2010","White other","55"
"2010","Other","29"
"2011","All","49"
"2011","Indian","N/A"
"2011","Pakistani/Bangladeshi","N/A"
"2011","Asian other","N/A"
"2011","Black","N/A"
"2011","Mixed","N/A"
"2011","White British","N/A"
"2011","White other","N/A"
"2011","Other","N/A"
"2012","All","50"
"2012","Indian","41"
"2012","Pakistani/Bangladeshi","30"
"2012","Asian other","23"
"2012","Black","27"
"2012","Mixed","41"
"2012","White British","53"
"2012","White other","48"
"2012","Other","26"
"2013","All","50"
"2013","Indian","33"
"2013","Pakistani/Bangladeshi","28"
"2013","Asian other","24"
"2013","Black","27"
"2013","Mixed","43"
"2013","White British","54"
"2013","White other","51"
"2013","Other","25"
"2014","All","51"
"2014","Indian","34"
"2014","Pakistani/Bangladeshi","32"
"2014","Asian other","24"
"2014","Black","31"
"2014","Mixed","43"
"2014","White British","55"
"2014","White other","49"
"2014","Other","26"
"2015","All","54"
"2015","Indian","35"
"2015","Pakistani/Bangladeshi","35"
"2015","Asian other","27"
"2015","Black","32"
"2015","Mixed","42"
"2015","White British","58"
"2015","White other","55"
"2015","Other","34"
"2016","All","54"
"2016","Indian","35"
"2016","Pakistani/Bangladeshi","32"
"2016","Asian other","27"
"2016","Black","38"
"2016","Mixed","39"
"2016","White British","58"
"2016","White other","56"
"2016","Other","33"
