"Title","Employment by ethnicity and area"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","December 2017"

"","All","East Midlands","East of England","London","North East","North West","Scotland","South East","South West","Wales","West Midlands","Yorkshire and The Humber"
"","%","%","%","%","%","%","%","%","%","%","%","%"
"All","75","74","78","74","71","73","74","79","79","72","72","73"
"Asian","64","60","72","66","58","58","63","75","67","59","59","53"
"Indian","74","69","78","74","?","68","?","82","75","?","70","72"
"Pakistani and Bangladeshi","55","?","57","57","?","52","64","68","?","?","51","48"
"Asian other inc Chinese","64","?","81","67","?","64","?","72","66","?","51","?"
"Black","67","63","75","68","?","63","?","73","?","?","62","61"
"Mixed","67","?","69","68","?","62","?","71","?","?","?","?"
"White","77","76","78","79","71","75","75","80","79","73","75","76"
"White British","76","76","78","78","71","75","75","79","79","73","75","75"
"White other","81","77","86","80","70","79","79","82","85","75","79","81"
"Other","62","?","?","64","?","55","?","66","?","?","56","?"
