"Title","Employment by ethnicity and gender"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","January 2004"

"","Women","","Men",""
"Ethnicity","%","Employed people","%","Employed people"
"All","69","13,850,000","79","15,628,000"
"Asian - Indian","64","350,000","81","478,000"
"Asian - Other ","55","243,000","72","270,000"
"Asian - Pakistani/Bangladeshi","35","197,000","72","440,000"
"Black","64","475,000","71","416,000"
"Mixed","62","171,000","67","156,000"
"White - British","71","11,086,000","79","12,311,000"
"White - Other","73","1,126,000","88","1,267,000"
"Other","51","191,000","71","277,000"
