"Title","Employment by ethnicity"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","December 2017"

"Ethnicity","%","Employed people"
"All","75","29,943,000"
"Asian","64","2,029,000"
"Indian","74","842,000"
"Pakistani and Bangladeshi","55","658,000"
"Asian other inc Chinese","64","528,000"
"Black","67","865,000"
"Mixed","67","363,000"
"White","77","26,181,000"
"White British","76","23,645,000"
"White other","81","2,536,000"
"Other","62","486,000"
