"Title","Employment by ethnicity and age"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","January 2004"

"AGE_BAND","Ethnicity","%","Employed people"
"16-24","All","54","3,745,000"
"16-24","Indian","35","56,000"
"16-24","Pakistani/Bangladeshi","32","85,000"
"16-24","Asian other","27","48,000"
"16-24","Black","38","107,000"
"16-24","Mixed","39","68,000"
"16-24","White British","58","3,123,000"
"16-24","White other","56","213,000"
"16-24","Other","33","43,000"
"25-49","All","83","17,458,000"
"25-49","Indian","82","616,000"
"25-49","Pakistani/Bangladeshi","63","480,000"
"25-49","Asian other","74","368,000"
"25-49","Black","75","565,000"
"25-49","Mixed","79","218,000"
"25-49","White British","85","12,997,000"
"25-49","White other","85","1,857,000"
"25-49","Other","68","342,000"
"50-64","All","70","8,275,000"
"50-64","Indian","70","156,000"
"50-64","Pakistani/Bangladeshi","49","72,000"
"50-64","Asian other","68","97,000"
"50-64","Black","73","220,000"
"50-64","Mixed","68","41,000"
"50-64","White British","70","7,277,000"
"50-64","White other","75","323,000"
"50-64","Other","65","83,000"
