"Title","Incidents of self-harm by young people in custody by ethnicity and year"
"Location","England and Wales"
"Time period","2010/11 to 2015/16"
"Data source","Youth Justice Statistics Supplementary Tables 8.10/8.11"
"Data source link","https://www.gov.uk/government/statistics/youth-justice-statistics-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","26 January 2017"

"Standard Ethnicity","Year (12 months ending March)","Rate","Average population per month","Average number of self harm incidents per month"
"White","2010/11","5.5","1,911.4","105.3"
"White","2011/12","7.3","1,727.7","125.9"
"White","2012/13","7.8","1,381.3","107.5"
"White","2013/14","9.5","1,025.9","97.0"
"White","2014/15","10.5","866.1","91.0"
"White","2015/16","12.4","766.4","95.3"
"Other","2010/11","1.3","971.2","12.9"
"Other","2011/12","1.6","1,039.8","16.9"
"Other","2012/13","1.3","860.8","11.4"
"Other","2013/14","2.0","628.3","12.7"
"Other","2014/15","3.2","549.8","17.8"
"Other","2015/16","3.8","524.0","20.2"
