"Title","Reading attainment for children aged 7 to 11 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","01/09/2016 (provisional)"

"Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score"
"All","66","19","103","0.0"
"Asian","63","16","102","-0.1"
"Bangladeshi","64","14","102","0.3"
"Indian","71","22","104","0.1"
"Pakistani","56","11","100","-0.6"
"Asian other","67","20","103","0.4"
"Black","62","13","102","0.1"
"Black African","64","14","102","0.3"
"Black Caribbean","58","10","101","-0.5"
"Black other","60","12","101","0.1"
"Chinese","75","33","105","1.4"
"Mixed","69","21","103","0.4"
"Mixed White/Asian","74","27","104","0.8"
"Mixed White/Black African","67","18","103","0.5"
"Mixed White/Black Caribbean","63","15","102","-0.3"
"Mixed other","70","23","104","0.8"
"White","67","19","103","0.0"
"White British","68","20","103","-0.1"
"White Irish","77","31","105","2.1"
"White Irish Traveller","28","5","96","-1.8"
"White Gypsy/Roma","21","2","94","-1.5"
"White other","57","16","101","1.3"
"Other","58","13","101","0.5"
"Unknown","55","16","102","0.2"
