"Title","Reading attainments for children aged 10 to 11 (key stage 2)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-24"
"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Peterborough","E06000031","55","%","2494"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Central Bedfordshire","E06000056","65","%","3075"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Cambridgeshire","E10000003","66","%","6342"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Suffolk","E10000029","63","%","7483"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Bedford","E06000055","59","%","1933"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Thurrock","E06000034","63","%","2142"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Luton","E06000032","56","%","2947"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Southend-on-Sea","E06000033","67","%","1902"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Essex","E10000012","67","%","15218"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Hertfordshire","E10000015","72","%","12706"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Norfolk","E10000020","64","%","8299"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Northamptonshire","E10000021","63","%","8423"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Lincolnshire","E10000019","64","%","7349"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottinghamshire","E10000024","65","%","8412"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottingham","E06000018","61","%","3108"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derbyshire","E10000007","66","%","8074"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Rutland","E06000017","71","%","375"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derby","E06000015","61","%","2916"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicestershire","E10000018","65","%","7158"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicester","E06000016","59","%","3969"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Redbridge","E09000026","68","%","3669"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Haringey","E09000014","64","%","2852"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Kensington and Chelsea","E09000020","79","%","913"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Kingston upon Thames","E09000021","75","%","1708"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Lambeth","E09000022","73","%","2771"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Tower Hamlets","E09000030","72","%","3009"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Harrow","E09000015","72","%","2668"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Enfield","E09000010","61","%","4092"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Islington","E09000019","68","%","1761"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Hounslow","E09000018","67","%","2677"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Bexley","E09000004","70","%","2972"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Westminster","E09000033","66","%","1420"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Barnet","E09000003","73","%","3730"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Havering","E09000016","73","%","2856"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Lewisham","E09000023","67","%","3185"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Richmond upon Thames","E09000027","81","%","1989"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Croydon","E09000008","66","%","4161"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Greenwich","E09000011","73","%","2931"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Sutton","E09000029","74","%","2005"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Hackney","E09000012","71","%","2429"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Merton","E09000024","70","%","2013"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Barking and Dagenham","E09000002","65","%","3046"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Hillingdon","E09000017","70","%","3472"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Brent","E09000005","64","%","3434"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","Ealing","E09000009","65","%","3849"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","London","City of London","E09000001","!","%","28"
