"","Boys","","","","Girls","","",""
"Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score","Expected standard","Higher standard","Average scaled score","Progress score"
"All","68","21","103","-0.3","75","28","105","0.3"
"Asian","66","19","103","-0.4","72","24","104","0.0"
"Bangladeshi","67","18","103","0.1","74","23","104","0.4"
"Indian","73","25","104","-0.3","79","33","106","0.4"
"Pakistani","60","14","101","-0.9","66","18","103","-0.6"
"Asian other","70","23","104","0.1","76","29","105","0.4"
"Black","65","16","102","-0.2","74","23","104","0.4"
"Black African","67","17","103","0.0","75","24","104","0.5"
"Black Caribbean","61","13","102","-0.7","72","20","104","0.0"
"Black other","62","15","102","-0.4","72","21","104","0.4"
"Chinese","76","36","106","1.1","84","44","108","1.8"
"Mixed","70","23","104","0.0","78","30","106","0.8"
"Mixed White/Asian","75","29","105","0.4","83","38","107","1.1"
"Mixed White/Black African","69","21","104","0.0","78","29","105","0.9"
"Mixed White/Black Caribbean","64","17","102","-0.7","74","24","104","0.2"
"Mixed other","71","25","104","0.3","78","32","106","1.0"
"White","69","22","104","-0.3","76","29","105","0.3"
"White British","70","23","104","-0.4","77","29","105","0.2"
"White Irish","77","33","106","1.3","82","42","108","2.3"
"White Irish Traveller","33","3","97","-0.6","37","7","98","0.6"
"White Gypsy/Roma","23","4","94","-1.8","30","5","95","-0.6"
"White other","61","19","102","1.0","66","24","103","1.6"
"Other","60","16","102","0.3","67","21","103","0.8"
