"Title","Reading attainment for children aged 10 to 11 by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score"
"All","72","25","104","0.0"
"Asian","69","21","103","-0.2"
"Bangladeshi","71","20","104","0.2"
"Indian","76","29","105","0.1"
"Pakistani","63","16","102","-0.7"
"Asian other","73","26","104","0.2"
"Black","69","19","103","0.1"
"Black African","71","20","104","0.2"
"Black Caribbean","66","17","103","-0.4"
"Black other","67","18","103","0.0"
"Chinese","80","40","107","1.5"
"Mixed","74","27","105","0.4"
"Mixed White/Asian","78","33","106","0.8"
"Mixed White/Black African","73","25","104","0.4"
"Mixed White/Black Caribbean","69","20","103","-0.3"
"Mixed other","74","28","105","0.7"
"White","72","25","104","0.0"
"White British","73","26","104","-0.1"
"White Irish","79","38","107","1.8"
"White Irish Traveller","35","5","97","0.0"
"White Gypsy/Roma","26","4","95","-1.2"
"White other","63","21","103","1.3"
"Other","63","18","103","0.5"
