"Title","Reading attainments for children aged 7 to 11 (key stage 2)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017 (revised)"
"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominator"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","All","All","All","All/Boys/Girls","66","%","586,177"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","67","%","441,663"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","68","%","406,144"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","77","%","1,701"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","28","%","434"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","21","%","1,993"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","57","%","31,391"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","69","%","30,591"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","63","%","8,607"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","67","%","3,900"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","74","%","7,029"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","70","%","11,055"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","63","%","62,121"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","71","%","15,794"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","56","%","26,156"
"% of pupils reaching the expected standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","64","%","10,196"
