"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value"
"Number of self-harm incidents per 1000",2011,"Year","White","ONS 5+1 2001",338.8
"Number of self-harm incidents per 1000",2011,"Year","Asian","ONS 5+1 2001",99
"Number of self-harm incidents per 1000",2011,"Year","Black","ONS 5+1 2001",63
"Number of self-harm incidents per 1000",2011,"Year","Mixed","ONS 5+1 2001",152.8
"Number of self-harm incidents per 1000",2011,"Year","Other","ONS 5+1 2001",127.3
"Number of self-harm incidents per 1000",2012,"Year","White","ONS 5+1 2001",324.7
"Number of self-harm incidents per 1000",2012,"Year","Asian","ONS 5+1 2001",90.3
"Number of self-harm incidents per 1000",2012,"Year","Black","ONS 5+1 2001",64.8
"Number of self-harm incidents per 1000",2012,"Year","Mixed","ONS 5+1 2001",136.1
"Number of self-harm incidents per 1000",2012,"Year","Other","ONS 5+1 2001",159.3
"Number of self-harm incidents per 1000",2013,"Year","White","ONS 5+1 2001",321.9
"Number of self-harm incidents per 1000",2013,"Year","Asian","ONS 5+1 2001",97.5
"Number of self-harm incidents per 1000",2013,"Year","Black","ONS 5+1 2001",69.9
"Number of self-harm incidents per 1000",2013,"Year","Mixed","ONS 5+1 2001",203.8
"Number of self-harm incidents per 1000",2013,"Year","Other","ONS 5+1 2001",205.2
"Number of self-harm incidents per 1000",2014,"Year","White","ONS 5+1 2001",361.1
"Number of self-harm incidents per 1000",2014,"Year","Asian","ONS 5+1 2001",81.5
"Number of self-harm incidents per 1000",2014,"Year","Black","ONS 5+1 2001",71.2
"Number of self-harm incidents per 1000",2014,"Year","Mixed","ONS 5+1 2001",229.2
"Number of self-harm incidents per 1000",2014,"Year","Other","ONS 5+1 2001",183.5
"Number of self-harm incidents per 1000",2015,"Year","White","ONS 5+1 2001",450
"Number of self-harm incidents per 1000",2015,"Year","Asian","ONS 5+1 2001",123.8
"Number of self-harm incidents per 1000",2015,"Year","Black","ONS 5+1 2001",80.9
"Number of self-harm incidents per 1000",2015,"Year","Mixed","ONS 5+1 2001",273.6
"Number of self-harm incidents per 1000",2015,"Year","Other","ONS 5+1 2001",225.3
