"Title","Ethnic groups by working age"
"Location","England and Wales"
"Time period","2011"
"Data source","2011 Census"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/12/2012"

"Ethnicity","%","Number"
"All","64.7","36,273,707"
"Asian","69.7","2,936,933"
"Bangladeshi","61.5","275,116"
"Chinese","82.1","322,791"
"Indian","72.6","1,026,432"
"Pakistani","62.7","704,689"
"Asian other","72.7","607,905"
"Black","66.5","1,240,547"
"Black African","67.4","667,418"
"Black Caribbean","68.6","408,318"
"Black other","58.8","164,811"
"Mixed","52.1","638,291"
"Mixed White/Asian","50.0","170,927"
"Mixed White/Black African","49.0","81,364"
"Mixed White/Black Caribbean","52.8","225,465"
"Mixed other","55.4","160,535"
"White","64.4","31,054,503"
"White British","63.7","28,731,855"
"White Irish","63.6","337,577"
"White Gypsy/Traveller","62.2","35,869"
"White other","78.4","1,949,202"
"Other","71.6","403,433"
"Arab","68.1","156,948"
"Any other","74.0","246,485"
