"Title","Working age population"
"Location","England and Wales"
"Time period","2011"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-08-01"
"Measure","Ethnicity","Geography","Age_group","Sex","Value","Count","Year","Source","","","","",""
"Percent of working age population","All","England and Wales","16-64","All","100.0","36273707","2011","2011 Census","","","","",""
"Percent of working age population","White","England and Wales","16-64","All","85.6","31054503","2011","2011 Census","","","","",""
"Percent of working age population","White British","England and Wales","16-64","All","79.2","28731855","2011","2011 Census","","","","",""
"Percent of working age population","Irish","England and Wales","16-64","All","0.9","337577","2011","2011 Census","","","","",""
"Percent of working age population","Gypsy or Irish Traveller","England and Wales","16-64","All","0.1","35869","2011","2011 Census","","","","",""
"Percent of working age population","White other","England and Wales","16-64","All","5.4","1949202","2011","2011 Census","","","","",""
"Percent of working age population","Mixed","England and Wales","16-64","All","1.8","638291","2011","2011 Census","","","","",""
"Percent of working age population","White and Black Caribbean","England and Wales","16-64","All","0.6","225465","2011","2011 Census","","","","",""
"Percent of working age population","White and Black African","England and Wales","16-64","All","0.2","81364","2011","2011 Census","","","","",""
"Percent of working age population","White and Asian","England and Wales","16-64","All","0.5","170927","2011","2011 Census","","","","",""
"Percent of working age population","Mixed other","England and Wales","16-64","All","0.4","160535","2011","2011 Census","","","","",""
"Percent of working age population","Asian/Asian British","England and Wales","16-64","All","8.1","2936933","2011","2011 Census","","","","",""
"Percent of working age population","Indian","England and Wales","16-64","All","2.8","1026432","2011","2011 Census","","","","",""
"Percent of working age population","Pakistani","England and Wales","16-64","All","1.9","704689","2011","2011 Census","","","","",""
"Percent of working age population","Bangladeshi","England and Wales","16-64","All","0.8","275116","2011","2011 Census","","","","",""
"Percent of working age population","Chinese","England and Wales","16-64","All","0.9","322791","2011","2011 Census","","","","",""
"Percent of working age population","Asian other","England and Wales","16-64","All","1.7","607905","2011","2011 Census","","","","",""
"Percent of working age population","Black/African/Caribbean/Black British","England and Wales","16-64","All","3.4","1240547","2011","2011 Census","","","","",""
"Percent of working age population","African","England and Wales","16-64","All","1.8","667418","2011","2011 Census","","","","",""
"Percent of working age population","Caribbean","England and Wales","16-64","All","1.1","408318","2011","2011 Census","","","","",""
"Percent of working age population","Black other","England and Wales","16-64","All","0.5","164811","2011","2011 Census","","","","",""
"Percent of working age population","Other ethnic group","England and Wales","16-64","All","1.1","403433","2011","2011 Census","","","","",""
"Percent of working age population","Arab","England and Wales","16-64","All","0.4","156948","2011","2011 Census","","","","",""
"Percent of working age population","Any other ethnic group","England and Wales","16-64","All","0.7","246485","2011","2011 Census","","","","",""
"Percent of working age population","All","England and Wales","16-64","Male","100","18059853","2011","2011 Census","","","","",""
"Percent of working age population","White","England and Wales","16-64","Male","85.6","15452728","2011","2011 Census","","","","",""
"Percent of working age population","White British","England and Wales","16-64","Male","79.4","14343289","2011","2011 Census","","","","",""
"Percent of working age population","Irish","England and Wales","16-64","Male","0.9","169091","2011","2011 Census","","","","",""
"Percent of working age population","Gypsy or Irish Traveller","England and Wales","16-64","Male","0.1","17551","2011","2011 Census","","","","",""
"Percent of working age population","White other","England and Wales","16-64","Male","5.1","922797","2011","2011 Census","","","","",""
"Percent of working age population","Mixed","England and Wales","16-64","Male","1.7","314659","2011","2011 Census","","","","",""
"Percent of working age population","White and Black Caribbean","England and Wales","16-64","Male","0.6","110038","2011","2011 Census","","","","",""
"Percent of working age population","White and Black African","England and Wales","16-64","Male","0.2","40273","2011","2011 Census","","","","",""
"Percent of working age population","White and Asian","England and Wales","16-64","Male","0.5","88519","2011","2011 Census","","","","",""
"Percent of working age population","Mixed other","England and Wales","16-64","Male","0.4","75829","2011","2011 Census","","","","",""
"Percent of working age population","Asian/Asian British","England and Wales","16-64","Male","8.2","1473834","2011","2011 Census","","","","",""
"Percent of working age population","Indian","England and Wales","16-64","Male","2.9","525571","2011","2011 Census","","","","",""
"Percent of working age population","Pakistani","England and Wales","16-64","Male","2.0","361880","2011","2011 Census","","","","",""
"Percent of working age population","Bangladeshi","England and Wales","16-64","Male","0.8","143146","2011","2011 Census","","","","",""
