"","England","","Wales",""
"Ethnicity","%","Number","%","Number"
"All","100.0","34,329,091","100.0","1,944,616"
"Asian","8.4","2,886,974","2.6","49,959"
"Bangladeshi","0.8","268,507","0.3","6,609"
"Chinese","0.9","311,828","0.6","10,963"
"Indian","3.0","1,013,550","0.7","12,882"
"Pakistani","2.0","696,841","0.4","7,848"
"Asian other","1.7","596,248","0.6","11,657"
"Black","3.6","1,227,458","0.7","13,089"
"Black African","1.9","658,725","0.4","8,693"
"Black Caribbean","1.2","405,493","0.1","2,825"
"Black other","0.5","163,240","0.1","1,571"
"Mixed","1.8","620,280","0.9","18,011"
"Mixed White/Asian","0.5","165,976","0.3","4,951"
"Mixed White/Black African","0.2","79,068","0.1","2,296"
"Mixed White/Black Caribbean","0.6","218,859","0.3","6,606"
"Mixed other","0.5","156,377","0.2","4,158"
"White","85.1","29,201,606","95.3","1,852,897"
"White British","78.5","26,932,465","92.5","1,799,390"
"White Irish","1.0","328,505","0.5","9,072"
"White Gypsy/Traveller","0.1","34,178","0.1","1,691"
"White other","5.6","1,906,458","2.2","42,744"
"Other","1.1","392,773","0.5","10,660"
"Arab","0.4","150,446","0.3","6,502"
"Any other","0.7","242,327","0.2","4,158"
