"Title","Employment and Support Allowance: sanctions"
"Location","England, Wales and Scotland"
"Time period","February 2013 to November 2016"
"Data source","Department for Work and Pensions"
"Data source link","https://stat-xplore.dwp.gov.uk/webapi/jsf/login.xhtml"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-05"
"Date","Date type","Region","Region type","Age","Age type","Ethnicity","Ethnicity type","Numerator","Numerator type","Denominator","Denominator type","Rate","Rate type","Suppression","Suppression type"
"February 2010","Month","All","Great Britain","18-24","Age range of individuals sanctioned","All","All","697","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","9,820","Number of ESA claimants matching geographic, ethnicity and age status ","7.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","18-24","Age range of individuals sanctioned","Asian","ONS 5+2","32","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","224","Number of ESA claimants matching geographic, ethnicity and age status ","14.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","18-24","Age range of individuals sanctioned","Black","ONS 5+2","31","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","120","Number of ESA claimants matching geographic, ethnicity and age status ","25.8","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","18-24","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","92","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","527","Number of ESA claimants matching geographic, ethnicity and age status ","17.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","18-24","Age range of individuals sanctioned","Mixed","ONS 5+2","18","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","124","Number of ESA claimants matching geographic, ethnicity and age status ","14.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","18-24","Age range of individuals sanctioned","Other","ONS 5+2","7","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","57","Number of ESA claimants matching geographic, ethnicity and age status ","12.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","18-24","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","66","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,899","Number of ESA claimants matching geographic, ethnicity and age status ","3.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","18-24","Age range of individuals sanctioned","White","ONS 2+1","540","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","7,388","Number of ESA claimants matching geographic, ethnicity and age status ","7.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","18-24","Age range of individuals sanctioned","White British","ONS 5+2","526","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","7,289","Number of ESA claimants matching geographic, ethnicity and age status ","7.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","18-24","Age range of individuals sanctioned","White Other","ONS 5+2","14","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","103","Number of ESA claimants matching geographic, ethnicity and age status ","13.6","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","25-49","Age range of individuals sanctioned","All","All","1,920","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","42,055","Number of ESA claimants matching geographic, ethnicity and age status ","4.6","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","25-49","Age range of individuals sanctioned","Asian","ONS 5+2","92","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,275","Number of ESA claimants matching geographic, ethnicity and age status ","7.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","25-49","Age range of individuals sanctioned","Black","ONS 5+2","114","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","935","Number of ESA claimants matching geographic, ethnicity and age status ","12.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","25-49","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","265","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","3,099","Number of ESA claimants matching geographic, ethnicity and age status ","8.6","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","25-49","Age range of individuals sanctioned","Mixed","ONS 5+2","32","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","347","Number of ESA claimants matching geographic, ethnicity and age status ","9.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","25-49","Age range of individuals sanctioned","Other","ONS 5+2","28","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","536","Number of ESA claimants matching geographic, ethnicity and age status ","5.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","25-49","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","208","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","6,533","Number of ESA claimants matching geographic, ethnicity and age status ","3.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","25-49","Age range of individuals sanctioned","White","ONS 2+1","1,449","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","32,427","Number of ESA claimants matching geographic, ethnicity and age status ","4.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","25-49","Age range of individuals sanctioned","White British","ONS 5+2","1,404","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","31,606","Number of ESA claimants matching geographic, ethnicity and age status ","4.4","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","25-49","Age range of individuals sanctioned","White Other","ONS 5+2","42","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","826","Number of ESA claimants matching geographic, ethnicity and age status ","5.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","50+","Age range of individuals sanctioned","All","All","304","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","28,459","Number of ESA claimants matching geographic, ethnicity and age status ","1.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","50+","Age range of individuals sanctioned","Asian","ONS 5+2","25","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","838","Number of ESA claimants matching geographic, ethnicity and age status ","3.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","50+","Age range of individuals sanctioned","Black","ONS 5+2","24","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","328","Number of ESA claimants matching geographic, ethnicity and age status ","7.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","50+","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","53","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,434","Number of ESA claimants matching geographic, ethnicity and age status ","3.7","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","50+","Age range of individuals sanctioned","Mixed","ONS 5+2","5","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","71","Number of ESA claimants matching geographic, ethnicity and age status ","7.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","50+","Age range of individuals sanctioned","Other","ONS 5+2","6","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","198","Number of ESA claimants matching geographic, ethnicity and age status ","3.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","50+","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","49","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","8,120","Number of ESA claimants matching geographic, ethnicity and age status ","0.6","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","50+","Age range of individuals sanctioned","White","ONS 2+1","197","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","18,902","Number of ESA claimants matching geographic, ethnicity and age status ","1.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","50+","Age range of individuals sanctioned","White British","ONS 5+2","190","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","18,398","Number of ESA claimants matching geographic, ethnicity and age status ","1.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","50+","Age range of individuals sanctioned","White Other","ONS 5+2","10","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","502","Number of ESA claimants matching geographic, ethnicity and age status ","2.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","All ages","Age range of individuals sanctioned","All","All","3,308","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","80,943","Number of ESA claimants matching geographic, ethnicity and age status ","4.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","147","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","2,336","Number of ESA claimants matching geographic, ethnicity and age status ","6.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","All ages","Age range of individuals sanctioned","Black","ONS 5+2","167","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,393","Number of ESA claimants matching geographic, ethnicity and age status ","12.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","411","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","5,067","Number of ESA claimants matching geographic, ethnicity and age status ","8.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","56","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","546","Number of ESA claimants matching geographic, ethnicity and age status ","10.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","All ages","Age range of individuals sanctioned","Other","ONS 5+2","43","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","792","Number of ESA claimants matching geographic, ethnicity and age status ","5.4","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","696","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","17,003","Number of ESA claimants matching geographic, ethnicity and age status ","4.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","All ages","Age range of individuals sanctioned","White","ONS 2+1","2,198","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","58,868","Number of ESA claimants matching geographic, ethnicity and age status ","3.7","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","All ages","Age range of individuals sanctioned","White British","ONS 5+2","2,127","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","57,431","Number of ESA claimants matching geographic, ethnicity and age status ","3.7","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","All ages","Age range of individuals sanctioned","White Other","ONS 5+2","68","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,432","Number of ESA claimants matching geographic, ethnicity and age status ","4.7","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"February 2010","Month","All","Great Britain","Under 18","Age range of individuals sanctioned","All","All","7","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","598","Number of ESA claimants matching geographic, ethnicity and age status ","1.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
