"Title","Employment and Support Allowance claimants sanctioned, by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2013 to 2016"
"Data source","Department for Work and Pensions administrative data"
"Data source link","https://stat-xplore.dwp.gov.uk/webapi/jsf/login.xhtml"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","[None]","%","Number of sanctions"
"White","Feb-13","0.2","863"
"White","May-13","0.3","1,374"
"White","Aug-13","0.3","1,624"
"White","Nov-13","0.4","2,027"
"White","Feb-14","0.6","2,556"
"White","May-14","0.7","2,887"
"White","Aug-14","0.5","1,925"
"White","Nov-14","0.4","1,782"
"White","Feb-15","0.4","1,648"
"White","May-15","0.3","1,082"
"White","Aug-15","0.2","774"
"White","Nov-15","0.2","792"
"White","Feb-16","0.2","773"
"White","May-16","0.2","827"
"White","Aug-16","0.2","842"
"White","Nov-16","0.3","1,062"
"Other","Feb-13","0.3","129"
"Other","May-13","0.4","182"
"Other","Aug-13","0.6","244"
"Other","Nov-13","0.7","322"
"Other","Feb-14","0.9","417"
"Other","May-14","0.9","411"
"Other","Aug-14","0.7","309"
"Other","Nov-14","0.7","290"
"Other","Feb-15","0.6","237"
"Other","May-15","0.5","213"
"Other","Aug-15","0.4","135"
"Other","Nov-15","0.4","144"
"Other","Feb-16","0.2","90"
"Other","May-16","0.4","132"
"Other","Aug-16","0.3","96"
"Other","Nov-16","0.4","131"
