"Title","Outcomes of referrals following psychological therapy by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Improving Access to Psychological Therapies (IAPT) dataset"
"Data source link","http://www.content.digital.nhs.uk/iapt"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","Reliably improved","No Reliable Change","Reliably deteriorated"
"Ethnicity","%","%","%"
"Asian","56.7","34.9","8.4"
"Bangladeshi","53.9","35.4","10.7"
"Indian","59.2","33.5","7.4"
"Pakistani","54.9","36.0","9.1"
"Asian other","55.2","36.1","8.7"
"Black","59.8","32.1","8.2"
"Black African","58.8","32.7","8.5"
"Black Caribbean","60.8","31.5","7.7"
"Black other","58.6","32.7","8.7"
"Mixed","58.6","34.1","7.3"
"Mixed White/Asian","58.2","34.4","7.4"
"Mixed White/Black African","60.8","31.4","7.8"
"Mixed White/Black Caribbean","58.8","34.2","7.0"
"Mixed other","58.0","34.6","7.5"
"White","63.5","30.6","6.0"
"White British","63.6","30.5","5.9"
"White Irish","63.8","30.4","5.9"
"White other","61.9","31.4","6.8"
"Other","56.4","35.5","8.1"
"Other  - Any Other ","55.7","35.9","8.4"
"Other  - Chinese","60.6","32.8","6.6"
