"Title","Access to GP services by ethnicity"
"Location","England"
"Time period","2011/12 to 2015/16"
"Data source","NHS OF indicator 4.4.i Access to GP services; GP patient survey data https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01781&mode=documentation&top=yes"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Ethnicity","Value"
"Access to GP services","2015/16","All","73"
"Access to GP services","2014/15","All","73"
"Access to GP services","2013/14","All","75"
"Access to GP services","2012/13","All","76"
"Access to GP services","2011/12","All","79"
"Access to GP services","2015/16","Asian - Any other","69"
"Access to GP services","2014/15","Asian - Any other","67"
"Access to GP services","2013/14","Asian - Any other","69"
"Access to GP services","2012/13","Asian - Any other","71"
"Access to GP services","2011/12","Asian - Any other","74"
"Access to GP services","2015/16","Asian - Bangladeshi","59"
"Access to GP services","2014/15","Asian - Bangladeshi","61"
"Access to GP services","2013/14","Asian - Bangladeshi","61"
"Access to GP services","2012/13","Asian - Bangladeshi","63"
"Access to GP services","2011/12","Asian - Bangladeshi","66"
"Access to GP services","2015/16","Asian - Chinese","64"
"Access to GP services","2014/15","Asian - Chinese","64"
"Access to GP services","2013/14","Asian - Chinese","66"
"Access to GP services","2012/13","Asian - Chinese","68"
"Access to GP services","2011/12","Asian - Chinese","68"
"Access to GP services","2015/16","Asian - Indian","63"
"Access to GP services","2014/15","Asian - Indian","61"
"Access to GP services","2013/14","Asian - Indian","64"
"Access to GP services","2012/13","Asian - Indian","64"
"Access to GP services","2011/12","Asian - Indian","68"
"Access to GP services","2015/16","Asian - Pakistani","59"
"Access to GP services","2014/15","Asian - Pakistani","57"
"Access to GP services","2013/14","Asian - Pakistani","60"
"Access to GP services","2012/13","Asian - Pakistani","61"
"Access to GP services","2011/12","Asian - Pakistani","64"
"Access to GP services","2015/16","Black - African","76"
"Access to GP services","2014/15","Black - African","75"
"Access to GP services","2013/14","Black - African","78"
"Access to GP services","2012/13","Black - African","78"
"Access to GP services","2011/12","Black - African","82"
"Access to GP services","2015/16","Black - Any other Black","74"
"Access to GP services","2014/15","Black - Any other Black","76"
"Access to GP services","2013/14","Black - Any other Black","77"
"Access to GP services","2012/13","Black - Any other Black","78"
"Access to GP services","2011/12","Black - Any other Black","80"
"Access to GP services","2015/16","Black - Caribbean","72"
"Access to GP services","2014/15","Black - Caribbean","72"
"Access to GP services","2013/14","Black - Caribbean","73"
"Access to GP services","2012/13","Black - Caribbean","75"
"Access to GP services","2011/12","Black - Caribbean","78"
"Access to GP services","2015/16","Mixed - Any other Mixed","72"
"Access to GP services","2014/15","Mixed - Any other Mixed","68"
"Access to GP services","2013/14","Mixed - Any other Mixed","70"
"Access to GP services","2012/13","Mixed - Any other Mixed","70"
"Access to GP services","2011/12","Mixed - Any other Mixed","74"
"Access to GP services","2015/16","Mixed - White and Asian","70"
"Access to GP services","2014/15","Mixed - White and Asian","68"
"Access to GP services","2013/14","Mixed - White and Asian","69"
"Access to GP services","2012/13","Mixed - White and Asian","70"
"Access to GP services","2011/12","Mixed - White and Asian","74"
"Access to GP services","2015/16","Mixed - White and Black African","72"
"Access to GP services","2014/15","Mixed - White and Black African","72"
"Access to GP services","2013/14","Mixed - White and Black African","73"
"Access to GP services","2012/13","Mixed - White and Black African","75"
"Access to GP services","2011/12","Mixed - White and Black African","77"
"Access to GP services","2015/16","Mixed - White and Black Caribbean","69"
"Access to GP services","2014/15","Mixed - White and Black Caribbean","68"
"Access to GP services","2013/14","Mixed - White and Black Caribbean","69"
"Access to GP services","2012/13","Mixed - White and Black Caribbean","72"
"Access to GP services","2011/12","Mixed - White and Black Caribbean","74"
"Access to GP services","2015/16","Other - Any other","73"
"Access to GP services","2014/15","Other - Any other","73"
"Access to GP services","2013/14","Other - Any other","75"
"Access to GP services","2012/13","Other - Any other","77"
"Access to GP services","2011/12","Other - Any other","77"
"Access to GP services","2015/16","Other - Arab","72"
"Access to GP services","2014/15","Other - Arab","69"
"Access to GP services","2013/14","Other - Arab","70"
"Access to GP services","2012/13","Other - Arab","75"
"Access to GP services","2011/12","Other - Arab","75"
"Access to GP services","2015/16","Unknown","70"
"Access to GP services","2014/15","Unknown","69"
"Access to GP services","2013/14","Unknown","71"
"Access to GP services","2012/13","Unknown","72"
"Access to GP services","2011/12","Unknown","76"
"Access to GP services","2015/16","White - Any other","73"
"Access to GP services","2014/15","White - Any other","72"
"Access to GP services","2013/14","White - Any other","74"
"Access to GP services","2012/13","White - Any other","75"
"Access to GP services","2011/12","White - Any other","77"
"Access to GP services","2015/16","White - British","75"
"Access to GP services","2014/15","White - British","74"
"Access to GP services","2013/14","White - British","76"
"Access to GP services","2012/13","White - British","77"
"Access to GP services","2011/12","White - British","80"
"Access to GP services","2015/16","White - Gypsy or Irish Traveller","66"
"Access to GP services","2014/15","White - Gypsy or Irish Traveller","63"
"Access to GP services","2013/14","White - Gypsy or Irish Traveller","62"
"Access to GP services","2012/13","White - Gypsy or Irish Traveller","68"
"Access to GP services","2011/12","White - Gypsy or Irish Traveller","73"
"Access to GP services","2015/16","White - Irish","77"
"Access to GP services","2014/15","White - Irish","77"
"Access to GP services","2013/14","White - Irish","79"
"Access to GP services","2012/13","White - Irish","79"
"Access to GP services","2011/12","White - Irish","83"
