"Title","Satisfaction with access to GP services by ethnicity"
"Location","England"
"Time period","2011/12 to 2016/17"
"Data source","NHS Outcomes Framework"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01781&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28 September 2016"

"","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17"
"Ethnicity","%","%","%","%","%","%"
"All","79.1","76.3","74.6","73.3","73.4","72.7"
"Asian","","","","","",""
"Bangladeshi","66.1","62.6","61.4","61.0","59.0","58.9"
"Chinese","68.4","68.4","65.6","63.6","63.8","62.9"
"Indian","67.5","63.7","63.6","60.9","63.0","61.2"
"Pakistani","64.0","60.8","60.3","57.1","58.5","56.4"
"Asian other","73.8","70.5","69.4","66.9","69.2","68.1"
"Black","","","","","",""
"Black African","82.3","78.4","77.5","75.4","76.4","76.0"
"Black Caribbean","78.3","74.8","73.2","72.1","72.0","70.8"
"Black other","79.7","77.9","76.6","76.4","74.0","75.2"
"Mixed","","","","","",""
"Mixed White/Asian","73.9","70.4","68.6","67.6","69.9","69.5"
"Mixed White/Black African","76.8","74.9","72.6","72.1","71.6","73.3"
"Mixed White/Black Caribbean","73.7","71.5","69.2","67.6","69.4","67.5"
"Mixed other","73.8","70.0","70.2","67.8","72.0","67.6"
"White","","","","","",""
"White British","80.3","77.4","75.5","74.4","74.5","73.8"
"White Irish","82.8","78.9","78.7","77.4","77.4","76.4"
"White Gypsy or Irish Traveller","73.4","67.5","62.4","62.8","65.6","60.7"
"White other","77.2","75.2","73.9","72.1","72.5","72.0"
"Other","","","","","",""
"Arab","75.2","74.5","69.5","69.2","71.8","71.3"
"Any other","77.4","76.5","74.8","73.2","73.0","71.8"
"Unknown","76.4","72.2","71.1","68.5","69.8","70.7"
