"Title","Satisfaction with access to GP services by ethnicity"
"Location","England"
"Time period","2011/12 to 2015/16"
"Data source","Public Health Outcomes Framework https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01781&mode=documentation&top=yes"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Ethnicity","Value"
"Satisfaction with access to GP services","2015/16","All","73.4"
"Satisfaction with access to GP services","2014/15","All","73.3"
"Satisfaction with access to GP services","2013/14","All","74.6"
"Satisfaction with access to GP services","2012/13","All","76.3"
"Satisfaction with access to GP services","2011/12","All","79.1"
"Satisfaction with access to GP services","2015/16","Black - African","76.4"
"Satisfaction with access to GP services","2015/16","Asian - Any other","69.2"
"Satisfaction with access to GP services","2015/16","Black - Any other Black","74"
"Satisfaction with access to GP services","2015/16","Other - Any other","73"
"Satisfaction with access to GP services","2015/16","Mixed - Any other Mixed","72"
"Satisfaction with access to GP services","2015/16","White - Any other","72.5"
"Satisfaction with access to GP services","2015/16","Other - Arab","71.8"
"Satisfaction with access to GP services","2015/16","Asian - Bangladeshi","59"
"Satisfaction with access to GP services","2015/16","Black - Caribbean","72"
"Satisfaction with access to GP services","2015/16","Asian - Chinese","63.8"
"Satisfaction with access to GP services","2015/16","White - British","74.5"
"Satisfaction with access to GP services","2015/16","White - Gypsy or Irish Traveller","65.6"
"Satisfaction with access to GP services","2015/16","Asian - Indian","63"
"Satisfaction with access to GP services","2015/16","White - Irish","77.4"
"Satisfaction with access to GP services","2015/16","Asian - Pakistani","58.5"
"Satisfaction with access to GP services","2015/16","Mixed - White and Asian","69.9"
"Satisfaction with access to GP services","2015/16","Mixed - White and Black African","71.6"
"Satisfaction with access to GP services","2015/16","Mixed - White and Black Caribbean","69.4"
"Satisfaction with access to GP services","2014/15","Black - African","75.4"
"Satisfaction with access to GP services","2014/15","Asian - Any other","66.9"
"Satisfaction with access to GP services","2014/15","Black - Any other Black","76.4"
"Satisfaction with access to GP services","2014/15","Other - Any other","73.2"
"Satisfaction with access to GP services","2014/15","Mixed - Any other Mixed","67.8"
"Satisfaction with access to GP services","2014/15","White - Any other","72.1"
"Satisfaction with access to GP services","2014/15","Other - Arab","69.2"
"Satisfaction with access to GP services","2014/15","Asian - Bangladeshi","61"
"Satisfaction with access to GP services","2014/15","Black - Caribbean","72.1"
"Satisfaction with access to GP services","2014/15","Asian - Chinese","63.6"
"Satisfaction with access to GP services","2014/15","White - British","74.4"
"Satisfaction with access to GP services","2014/15","White - Gypsy or Irish Traveller","62.8"
"Satisfaction with access to GP services","2014/15","Asian - Indian","60.9"
"Satisfaction with access to GP services","2014/15","White - Irish","77.4"
"Satisfaction with access to GP services","2014/15","Asian - Pakistani","57.1"
"Satisfaction with access to GP services","2014/15","Mixed - White and Asian","67.6"
"Satisfaction with access to GP services","2014/15","Mixed - White and Black African","72.1"
"Satisfaction with access to GP services","2014/15","Mixed - White and Black Caribbean","67.6"
"Satisfaction with access to GP services","2013/14","Black - African","77.5"
"Satisfaction with access to GP services","2013/14","Asian - Any other","69.4"
"Satisfaction with access to GP services","2013/14","Black - Any other Black","76.6"
"Satisfaction with access to GP services","2013/14","Other - Any other","74.8"
"Satisfaction with access to GP services","2013/14","Mixed - Any other Mixed","70.2"
"Satisfaction with access to GP services","2013/14","White - Any other","73.9"
"Satisfaction with access to GP services","2013/14","Other - Arab","69.5"
"Satisfaction with access to GP services","2013/14","Asian - Bangladeshi","61.4"
"Satisfaction with access to GP services","2013/14","Black - Caribbean","73.2"
"Satisfaction with access to GP services","2013/14","Asian - Chinese","65.6"
"Satisfaction with access to GP services","2013/14","White - British","75.5"
"Satisfaction with access to GP services","2013/14","White - Gypsy or Irish Traveller","62.4"
"Satisfaction with access to GP services","2013/14","Asian - Indian","63.6"
"Satisfaction with access to GP services","2013/14","White - Irish","78.7"
"Satisfaction with access to GP services","2013/14","Asian - Pakistani","60.3"
"Satisfaction with access to GP services","2013/14","Mixed - White and Asian","68.6"
"Satisfaction with access to GP services","2013/14","Mixed - White and Black African","72.6"
"Satisfaction with access to GP services","2013/14","Mixed - White and Black Caribbean","69.2"
"Satisfaction with access to GP services","2012/13","Black - African","78.4"
"Satisfaction with access to GP services","2012/13","Asian - Any other","70.5"
"Satisfaction with access to GP services","2012/13","Black - Any other Black","77.9"
"Satisfaction with access to GP services","2012/13","Other - Any other","76.5"
"Satisfaction with access to GP services","2012/13","Mixed - Any other Mixed","70"
"Satisfaction with access to GP services","2012/13","White - Any other","75.2"
"Satisfaction with access to GP services","2012/13","Other - Arab","74.5"
"Satisfaction with access to GP services","2012/13","Asian - Bangladeshi","62.6"
"Satisfaction with access to GP services","2012/13","Black - Caribbean","74.8"
"Satisfaction with access to GP services","2012/13","Asian - Chinese","68.4"
"Satisfaction with access to GP services","2012/13","White - British","77.4"
"Satisfaction with access to GP services","2012/13","White - Gypsy or Irish Traveller","67.5"
"Satisfaction with access to GP services","2012/13","Asian - Indian","63.7"
"Satisfaction with access to GP services","2012/13","White - Irish","78.9"
"Satisfaction with access to GP services","2012/13","Asian - Pakistani","60.8"
"Satisfaction with access to GP services","2012/13","Mixed - White and Asian","70.4"
"Satisfaction with access to GP services","2012/13","Mixed - White and Black African","74.9"
"Satisfaction with access to GP services","2012/13","Mixed - White and Black Caribbean","71.5"
"Satisfaction with access to GP services","2011/12","Black - African","82.3"
"Satisfaction with access to GP services","2011/12","Asian - Any other","73.8"
"Satisfaction with access to GP services","2011/12","Black - Any other Black","79.7"
"Satisfaction with access to GP services","2011/12","Other - Any other","77.4"
"Satisfaction with access to GP services","2011/12","Mixed - Any other Mixed","73.8"
"Satisfaction with access to GP services","2011/12","White - Any other","77.2"
"Satisfaction with access to GP services","2011/12","Other - Arab","75.2"
"Satisfaction with access to GP services","2011/12","Asian - Bangladeshi","66.1"
"Satisfaction with access to GP services","2011/12","Black - Caribbean","78.3"
"Satisfaction with access to GP services","2011/12","Asian - Chinese","68.4"
"Satisfaction with access to GP services","2011/12","White - British","80.3"
"Satisfaction with access to GP services","2011/12","White - Gypsy or Irish Traveller","73.4"
"Satisfaction with access to GP services","2011/12","Asian - Indian","67.5"
"Satisfaction with access to GP services","2011/12","White - Irish","82.8"
"Satisfaction with access to GP services","2011/12","Asian - Pakistani","64"
"Satisfaction with access to GP services","2011/12","Mixed - White and Asian","73.9"
"Satisfaction with access to GP services","2011/12","Mixed - White and Black African","76.8"
"Satisfaction with access to GP services","2011/12","Mixed - White and Black Caribbean","73.7"
