"Title","16 to 64-year-old females unemployed and not in full-time education, by highest qualification and ethnicity"
"Location","Great Britain"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Highest qualification held","Ethnicity","%"
"Level 4 and above","Asian","4%"
"Level 4 and above","Black","5%"
"Level 4 and above","Mixed","9%"
"Level 4 and above","White","2%"
"Level 4 and above","Other","4%"
"Level 3","Asian","5%"
"Level 3","Black","7%"
"Level 3","Mixed","1%"
"Level 3","White","3%"
"Level 3","Other","4%"
"Level 2","Asian","6%"
"Level 2","Black","9%"
"Level 2","Mixed","9%"
"Level 2","White","3%"
"Level 2","Other","9%"
"Below level 2","Asian","11%"
"Below level 2","Black","10%"
"Below level 2","Mixed","?"
"Below level 2","White","4%"
"Below level 2","Other","5%"
"Other qualifications","Asian","4%"
"Other qualifications","Black","6%"
"Other qualifications","Mixed","?"
"Other qualifications","White","4%"
"Other qualifications","Other","1%"
"No qualifications","Asian","2%"
"No qualifications","Black","6%"
"No qualifications","Mixed","?"
"No qualifications","White","4%"
"No qualifications","Other","1%"
