"Title","Employment for 16 to 24 year olds by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL"
"2004","Employed","All","All","All","16-24","16-64","3,934,408","6,587,958","49,218","60","0.4"
"2004","Employed","All","Asian - Indian","All","16-24","16-64","73,045","165,078","864","44","5.2"
"2004","Employed","All","Asian - Other","All","16-24","16-64","35,007","104,339","531","34","6.3"
"2004","Employed","All","Asian - Pakistani/Bangladeshi","All","16-24","16-64","70,536","212,124","1,157","33","4.3"
"2004","Employed","All","Black","All","16-24","16-64","63,335","178,148","777","36","5.3"
"2004","Employed","All","Mixed","All","16-24","16-64","54,162","111,551","633","49","6.2"
"2004","Employed","All","White - British","All","16-24","16-64","3,453,898","5,455,359","43,096","63","0.7"
"2004","Employed","All","White - Other","All","16-24","16-64","149,267","265,332","1,674","56","3.8"
"2004","Employed","All","Other","All","16-24","16-64","31,881","89,242","443","36","7.1"
"2005","Employed","All","All","All","16-24","16-64","3,944,925","6,705,543","46,261","59","0.4"
"2005","Employed","All","Asian - Indian","All","16-24","16-64","67,378","161,402","784","42","5.5"
"2005","Employed","All","Asian - Other","All","16-24","16-64","33,596","106,542","525","32","6.3"
"2005","Employed","All","Asian - Pakistani/Bangladeshi","All","16-24","16-64","80,163","230,753","1,143","35","4.4"
"2005","Employed","All","Black","All","16-24","16-64","64,240","182,637","734","35","5.5"
"2005","Employed","All","Mixed","All","16-24","16-64","50,451","110,029","574","46","6.4"
"2005","Employed","All","White - British","All","16-24","16-64","3,423,318","5,504,804","40,190","62","0.7"
"2005","Employed","All","White - Other","All","16-24","16-64","185,850","299,594","1,795","62","3.5"
"2005","Employed","All","Other","All","16-24","16-64","37,347","103,773","481","36","6.8"
"2006","Employed","All","All","All","16-24","16-64","3,937,849","6,799,515","33,854","58","0.5"
"2006","Employed","All","Asian - Indian","All","16-24","16-64","75,822","161,931","678","47","5.9"
"2006","Employed","All","Asian - Other","All","16-24","16-64","31,943","98,446","398","32","7.3"
"2006","Employed","All","Asian - Pakistani/Bangladeshi","All","16-24","16-64","82,662","231,118","981","36","4.7"
"2006","Employed","All","Black","All","16-24","16-64","75,180","197,706","707","38","5.7"
"2006","Employed","All","Mixed","All","16-24","16-64","52,306","106,996","463","49","7.2"
"2006","Employed","All","White - British","All","16-24","16-64","3,336,232","5,505,154","28,484","61","0.9"
"2006","Employed","All","White - Other","All","16-24","16-64","239,915","368,087","1,632","65","3.7"
"2006","Employed","All","Other","All","16-24","16-64","42,051","122,681","486","34","6.7"
"2007","Employed","All","All","All","16-24","16-64","3,974,252","6,927,147","33,686","57","0.5"
"2007","Employed","All","Asian - Indian","All","16-24","16-64","73,360","163,750","691","45","5.9"
"2007","Employed","All","Asian - Other","All","16-24","16-64","34,580","113,182","456","31","6.7"
"2007","Employed","All","Asian - Pakistani/Bangladeshi","All","16-24","16-64","66,591","225,766","944","30","4.6"
"2007","Employed","All","Black","All","16-24","16-64","74,370","198,036","725","38","5.6"
"2007","Employed","All","Mixed","All","16-24","16-64","54,291","111,430","471","49","7.1"
"2007","Employed","All","White - British","All","16-24","16-64","3,386,102","5,590,887","28,104","61","0.9"
"2007","Employed","All","White - Other","All","16-24","16-64","233,139","383,389","1,757","61","3.6"
"2007","Employed","All","Other","All","16-24","16-64","49,188","134,142","516","37","6.6"
"2008","Employed","All","All","All","16-24","16-64","3,929,224","7,004,090","32,709","56","0.5"
"2008","Employed","All","Asian - Indian","All","16-24","16-64","74,343","175,797","722","42","5.7"
"2008","Employed","All","Asian - Other","All","16-24","16-64","41,964","125,624","477","33","6.7"
"2008","Employed","All","Asian - Pakistani/Bangladeshi","All","16-24","16-64","75,922","222,763","948","34","4.8"
"2008","Employed","All","Black","All","16-24","16-64","68,284","220,629","785","31","5.1"
"2008","Employed","All","Mixed","All","16-24","16-64","56,431","129,011","506","44","6.8"
"2008","Employed","All","White - British","All","16-24","16-64","3,303,639","5,573,532","26,881","59","0.9"
"2008","Employed","All","White - Other","All","16-24","16-64","251,363","401,384","1,792","63","3.5"
"2008","Employed","All","Other","All","16-24","16-64","54,812","147,924","566","37","6.3"
"2009","Employed","All","All","All","16-24","16-64","3,689,909","7,026,393","31,519","53","0.6"
"2009","Employed","All","Asian - Indian","All","16-24","16-64","60,907","163,884","638","37","5.9"
"2009","Employed","All","Asian - Other","All","16-24","16-64","33,846","122,165","463","28","6.4"
"2009","Employed","All","Asian - Pakistani/Bangladeshi","All","16-24","16-64","75,746","234,326","971","32","4.6"
"2009","Employed","All","Black","All","16-24","16-64","61,845","221,213","773","28","5"
"2009","Employed","All","Mixed","All","16-24","16-64","54,697","132,777","528","41","6.6"
"2009","Employed","All","White - British","All","16-24","16-64","3,138,721","5,625,295","25,987","56","1"
"2009","Employed","All","White - Other","All","16-24","16-64","222,408","389,602","1,650","57","3.8"
"2009","Employed","All","Other","All","16-24","16-64","38,704","128,907","477","30","6.5"
"2010","Employed","All","All","All","16-24","16-64","3,558,678","7,086,713","31,370","50","0.6"
"2010","Employed","All","Asian - Indian","All","16-24","16-64","65,073","171,785","663","38","5.8"
"2010","Employed","All","Asian - Other","All","16-24","16-64","31,645","145,613","540","22","5.5"
"2010","Employed","All","Asian - Pakistani/Bangladeshi","All","16-24","16-64","72,632","240,222","957","30","4.6"
"2010","Employed","All","Black","All","16-24","16-64","62,145","226,432","794","27","4.9"
"2010","Employed","All","Mixed","All","16-24","16-64","44,317","123,517","477","36","6.8"
"2010","Employed","All","White - British","All","16-24","16-64","3,045,797","5,687,034","25,920","54","1"
"2010","Employed","All","White - Other","All","16-24","16-64","197,169","356,503","1,514","55","4"
"2010","Employed","All","Other","All","16-24","16-64","36,378","126,857","471","29","6.5"
"2011","Employed","All","All","All","16-24","16-64","3,535,473","7,150,299","29,659","49","0.6"
"2011","Employed","All","Asian - Indian","All","16-24","16-64","N/A","N/A","N/A","N/A","N/A"
"2011","Employed","All","Asian - Other","All","16-24","16-64","N/A","N/A","N/A","N/A","N/A"
"2011","Employed","All","Asian - Pakistani/Bangladeshi","All","16-24","16-64","N/A","N/A","N/A","N/A","N/A"
"2011","Employed","All","Black","All","16-24","16-64","N/A","N/A","N/A","N/A","N/A"
"2011","Employed","All","Mixed","All","16-24","16-64","N/A","N/A","N/A","N/A","N/A"
"2011","Employed","All","White - British","All","16-24","16-64","N/A","N/A","N/A","N/A","N/A"
"2011","Employed","All","White - Other","All","16-24","16-64","N/A","N/A","N/A","N/A","N/A"
"2011","Employed","All","Other","All","16-24","16-64","N/A","N/A","N/A","N/A","N/A"
"2012","Employed","All","All","All","16-24","16-64","3,537,620","7,136,351","29,497","50","0.6"
"2012","Employed","All","Asian - Indian","All","16-24","16-64","73,573","181,149","663","41","5.9"
"2012","Employed","All","Asian - Other","All","16-24","16-64","36,453","157,813","540","23","5.6"
"2012","Employed","All","Asian - Pakistani/Bangladeshi","All","16-24","16-64","74,583","250,271","947","30","4.6"
"2012","Employed","All","Black","All","16-24","16-64","62,424","235,168","808","27","4.8"
"2012","Employed","All","Mixed","All","16-24","16-64","63,709","154,385","564","41","6.4"
"2012","Employed","All","White - British","All","16-24","16-64","3,045,663","5,718,290","24,495","53","1"
"2012","Employed","All","White - Other","All","16-24","16-64","147,982","310,972","1,034","48","4.8"
"2012","Employed","All","Other","All","16-24","16-64","31,791","121,169","419","26","6.7"
"2013","Employed","All","All","All","16-24","16-64","3,532,457","7,097,495","28,918","50","0.6"
"2013","Employed","All","Asian - Indian","All","16-24","16-64","54,662","165,134","620","33","5.9"
"2013","Employed","All","Asian - Other","All","16-24","16-64","37,556","159,084","517","24","5.8"
"2013","Employed","All","Asian - Pakistani/Bangladeshi","All","16-24","16-64","72,823","260,561","925","28","4.6"
"2013","Employed","All","Black","All","16-24","16-64","67,565","250,571","838","27","4.7"
"2013","Employed","All","Mixed","All","16-24","16-64","71,825","166,376","606","43","6.2"
"2013","Employed","All","White - British","All","16-24","16-64","3,041,238","5,666,491","23,853","54","1"
"2013","Employed","All","White - Other","All","16-24","16-64","153,925","303,207","1,101","51","4.7"
"2013","Employed","All","Other","All","16-24","16-64","29,870","120,622","438","25","6.4"
"2014","Employed","All","All","All","16-24","16-64","3,589,254","7,072,095","28,692","51","0.6"
