"Title","Employment by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL"
"2004","Employed","All","All","All","All","16-64","27,057,872","37,248,303","315,222","73","0.2"
"2004","Employed","All","Asian - Indian","All","All","16-64","531,065","782,491","4,512","68","2.2"
"2004","Employed","All","Asian - Other","All","All","16-64","247,761","424,424","2,458","58","3.1"
"2004","Employed","All","Asian - Pakistani/Bangladeshi","All","All","16-64","316,707","714,151","4,093","44","2.4"
"2004","Employed","All","Black","All","All","16-64","493,429","823,015","3,990","60","2.4"
"2004","Employed","All","Mixed","All","All","16-64","168,022","270,877","1,683","62","3.7"
"2004","Employed","All","White - British","All","All","16-64","23,746,781","31,940,563","282,530","74","0.3"
"2004","Employed","All","White - Other","All","All","16-64","1,275,921","1,797,329","13,110","71","1.2"
"2005","Employed","All","All","All","All","16-64","27,365,333","37,649,126","300,203","73","0.2"
"2005","Employed","All","Asian - Indian","All","All","16-64","546,670","797,558","4,378","69","2.2"
"2005","Employed","All","Asian - Other","All","All","16-64","279,235","468,279","2,612","60","3"
"2005","Employed","All","Asian - Pakistani/Bangladeshi","All","All","16-64","327,438","742,927","3,978","44","2.4"
"2005","Employed","All","Black","All","All","16-64","533,728","875,167","4,006","61","2.4"
"2005","Employed","All","Mixed","All","All","16-64","169,993","272,656","1,593","62","3.8"
"2005","Employed","All","White - British","All","All","16-64","23,787,233","32,007,579","267,254","74","0.3"
"2005","Employed","All","White - Other","All","All","16-64","1,392,798","1,916,808","13,296","73","1.2"
"2006","Employed","All","All","All","All","16-64","27,592,756","38,021,579","216,042","73","0.2"
"2006","Employed","All","Asian - Indian","All","All","16-64","586,199","851,452","4,032","69","2.3"
"2006","Employed","All","Asian - Other","All","All","16-64","283,519","470,026","2,129","60","3.3"
"2006","Employed","All","Asian - Pakistani/Bangladeshi","All","All","16-64","347,290","780,522","3,649","45","2.5"
