"Title","Employment by ethnicity and region"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL"
"Jan16-Dec16","Employed","East Midlands","All","All","All","16-64","2,175,880","2,913,823","8,505","75","0.9"
"Jan16-Dec16","Employed","East Midlands","Asian - Indian","All","All","16-64","83,056","119,568","500","70","6.4"
"Jan16-Dec16","Employed","East Midlands","Asian - Other","All","All","16-64","25,039","41,697","148","60","12.5"
"Jan16-Dec16","Employed","East Midlands","Asian - Pakistani/Bangladeshi","All","All","16-64","20,853","39,030","165","53","12"
"Jan16-Dec16","Employed","East Midlands","Black","All","All","16-64","41,421","61,373","241","68","9.3"
"Jan16-Dec16","Employed","East Midlands","Mixed","All","All","16-64","17,855","29,597","101","60","15.1"
"Jan16-Dec16","Employed","East Midlands","White - British","All","All","16-64","1,823,816","2,410,174","6,717","76","1.6"
"Jan16-Dec16","Employed","East Midlands","White - Other","All","All","16-64","146,834","183,734","526","80","5.4"
"Jan16-Dec16","Employed","East Midlands","Other","All","All","16-64","?","?","?","?","?"
"Jan16-Dec16","Employed","East of England","All","All","All","16-64","2,870,342","3,737,869","11,167","77","0.8"
"Jan16-Dec16","Employed","East of England","Asian - Indian","All","All","16-64","52,879","72,974","229","73","9.1"
"Jan16-Dec16","Employed","East of England","Asian - Other","All","All","16-64","43,383","61,492","196","71","10.1"
"Jan16-Dec16","Employed","East of England","Asian - Pakistani/Bangladeshi","All","All","16-64","36,538","67,262","385","54","7.9"
"Jan16-Dec16","Employed","East of England","Black","All","All","16-64","66,016","91,267","381","72","7.1"
"Jan16-Dec16","Employed","East of England","Mixed","All","All","16-64","34,922","47,242","147","74","11.2"
"Jan16-Dec16","Employed","East of England","White - British","All","All","16-64","2,363,990","3,063,799","8,707","77","1.4"
"Jan16-Dec16","Employed","East of England","White - Other","All","All","16-64","245,602","293,497","988","84","3.6"
"Jan16-Dec16","Employed","East of England","Other","All","All","16-64","26,595","39,263","132","68","12.6"
