"Title","Hazardous drinking among adults by ethnicity and sex"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014 http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Sex","Value"
"White - British","All","19"
"White - Other","All","13.1"
"Black","All","4.7"
"Asian","All","3.2"
"Mixed/Other","All","7.5"
"White - British","Men","25.6"
"White - Other","Men","16.6"
"Black","Men","3.1"
"Asian","Men","3.7"
"Mixed/Other","Men","8.9"
"White - British","Women","12.8"
"White - Other","Women","10"
"Black","Women","6"
"Asian","Women","2.6"
"Mixed/Other","Women","6.2"
