"Title","Harmful drinking among adults by ethnicity and sex"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014 http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Ethnicity","Sex","Value"
"Harmful drinking","White - British","All","2.2"
"Harmful drinking","White - Other","All","0.9"
"Harmful drinking","Black","All","1.6"
"Harmful drinking","Asian","All","0.1"
"Harmful drinking","Mixed/Other","All","0"
"Harmful drinking","White - British","Men","3"
"Harmful drinking","White - Other","Men","1"
"Harmful drinking","Black","Men","1.7"
"Harmful drinking","Asian","Men","0.2"
"Harmful drinking","Mixed/Other","Men","0"
"Harmful drinking","White - British","Women","1.4"
"Harmful drinking","White - Other","Women","0.9"
"Harmful drinking","Black","Women","1.4"
"Harmful drinking","Asian","Women","0"
"Harmful drinking","Mixed/Other","Women","0"
