Measure,Time,Time_type,Geography,Ethnicity,Ethnicity_type,Sex,Sex_type,Risk,Risk_type,Value,Value type,Value Note,Lower CI,Upper CI,unweighted sample size
Harmful drinking,2014,Year,England,White - British,5,All,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,77.4,%,,,,"6,107"
Harmful drinking,2014,Year,England,White - Other,5,All,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,85.2,%,,,,408
Harmful drinking,2014,Year,England,Black,5,All,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,92.9,%,,,,185
Harmful drinking,2014,Year,England,Asian,5,All,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,96.3,%,,,,351
Harmful drinking,2014,Year,England,Mixed/Other,5,All,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,90.1,%,,,,142
Harmful drinking,2014,Year,England,White - British,5,All,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,19,%,,17.80%,20.30%,"6,107"
Harmful drinking,2014,Year,England,White - Other,5,All,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,13.1,%,,9.50%,17.80%,408
Harmful drinking,2014,Year,England,Black,5,All,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,4.7,%,,2.70%,8.20%,185
Harmful drinking,2014,Year,England,Asian,5,All,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,3.2,%,,1.60%,6.10%,351
Harmful drinking,2014,Year,England,Mixed/Other,5,All,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,7.5,%,,3.90%,14.00%,142
Harmful drinking,2014,Year,England,White - British,5,All,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,2.2,%,,1.80%,2.70%,"6,107"
Harmful drinking,2014,Year,England,White - Other,5,All,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,0.9,%,,0.40%,2.30%,408
Harmful drinking,2014,Year,England,Black,5,All,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,1.6,%,,0.60%,3.90%,185
Harmful drinking,2014,Year,England,Asian,5,All,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,0.1,%,,0.00%,0.90%,351
Harmful drinking,2014,Year,England,Mixed/Other,5,All,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,,%,no observations (zero value),,,142
Harmful drinking,2014,Year,England,White - British,5,All,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,1.4,%,,1.00%,1.80%,"6,107"
Harmful drinking,2014,Year,England,White - Other,5,All,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,0.8,%,,0.20%,2.80%,408
Harmful drinking,2014,Year,England,Black,5,All,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,0.8,%,,0.20%,3.40%,185
Harmful drinking,2014,Year,England,Asian,5,All,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,0.4,%,,0.10%,1.60%,351
Harmful drinking,2014,Year,England,Mixed/Other,5,All,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,2.4,%,,0.90%,6.60%,142
Harmful drinking,2014,Year,England,White - British,5,Men,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,69.2,%,,,,"2,503"
Harmful drinking,2014,Year,England,White - Other,5,Men,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,81.6,%,,,,152
Harmful drinking,2014,Year,England,Black,5,Men,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,93.4,%,,,,63
Harmful drinking,2014,Year,England,Asian,5,Men,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,95.3,%,,,,147
Harmful drinking,2014,Year,England,Mixed/Other,5,Men,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,87.1,%,,,,51
Harmful drinking,2014,Year,England,White - British,5,Men,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,25.6,%,,23.60%,27.70%,"2,503"
Harmful drinking,2014,Year,England,White - Other,5,Men,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,16.6,%,,10.60%,25.00%,152
Harmful drinking,2014,Year,England,Black,5,Men,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,3.1,%,,1.10%,8.20%,63
Harmful drinking,2014,Year,England,Asian,5,Men,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,3.7,%,,1.50%,8.90%,147
Harmful drinking,2014,Year,England,Mixed/Other,5,Men,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,8.9,%,,3.40%,21.50%,51
Harmful drinking,2014,Year,England,White - British,5,Men,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,3,%,,2.30%,4.10%,"2,503"
Harmful drinking,2014,Year,England,White - Other,5,Men,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,1,%,,0.20%,3.90%,152
Harmful drinking,2014,Year,England,Black,5,Men,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,1.7,%,,0.40%,6.90%,63
Harmful drinking,2014,Year,England,Asian,5,Men,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,0.2,%,,0.00%,1.70%,147
Harmful drinking,2014,Year,England,Mixed/Other,5,Men,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,,%,no observations (zero value),,,51
Harmful drinking,2014,Year,England,White - British,5,Men,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,2.1,%,,1.50%,2.90%,"2,503"
Harmful drinking,2014,Year,England,White - Other,5,Men,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,0.9,%,,0.10%,6.30%,152
Harmful drinking,2014,Year,England,Black,5,Men,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,1.8,%,,0.40%,7.80%,63
Harmful drinking,2014,Year,England,Asian,5,Men,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,0.7,%,,0.20%,3.00%,147
Harmful drinking,2014,Year,England,Mixed/Other,5,Men,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,3.9,%,,1.20%,12.30%,51
Harmful drinking,2014,Year,England,White - British,5,Women,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,85.2,%,,,,"3,604"
Harmful drinking,2014,Year,England,White - Other,5,Women,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,88.4,%,,,,256
Harmful drinking,2014,Year,England,Black,5,Women,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,92.6,%,,,,122
Harmful drinking,2014,Year,England,Asian,5,Women,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,97.4,%,,,,204
Harmful drinking,2014,Year,England,Mixed/Other,5,Women,Men/Women/All,non-drinker_low risk (0-7),The Alcohol Use Disorders Identification Test (AUDIT) score,92.8,%,,,,91
Harmful drinking,2014,Year,England,White - British,5,Women,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,12.8,%,,11.50%,14.20%,"3,604"
Harmful drinking,2014,Year,England,White - Other,5,Women,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,10,%,,6.40%,15.20%,256
Harmful drinking,2014,Year,England,Black,5,Women,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,6,%,,3.00%,11.50%,122
Harmful drinking,2014,Year,England,Asian,5,Women,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,2.6,%,,0.90%,6.70%,204
Harmful drinking,2014,Year,England,Mixed/Other,5,Women,Men/Women/All,Hazardous drinking (8-15),The Alcohol Use Disorders Identification Test (AUDIT) score,6.2,%,,2.60%,14.10%,91
Harmful drinking,2014,Year,England,White - British,5,Women,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,1.4,%,,1.00%,1.90%,"3,604"
Harmful drinking,2014,Year,England,White - Other,5,Women,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,0.9,%,,0.30%,3.00%,256
Harmful drinking,2014,Year,England,Black,5,Women,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,1.4,%,,0.40%,4.70%,122
Harmful drinking,2014,Year,England,Asian,5,Women,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,,%,no observations (zero value),,,204
Harmful drinking,2014,Year,England,Mixed/Other,5,Women,Men/Women/All,Harmful drinking/mild dependence (16-19),The Alcohol Use Disorders Identification Test (AUDIT) score,,%,no observations (zero value),,,91
Harmful drinking,2014,Year,England,White - British,5,Women,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,0.6,%,,0.40%,1.00%,"3,604"
Harmful drinking,2014,Year,England,White - Other,5,Women,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,0.7,%,,0.20%,2.80%,256
Harmful drinking,2014,Year,England,Black,5,Women,Men/Women/All,Probable dependence (20+),The Alcohol Use Disorders Identification Test (AUDIT) score,,%,no observations (zero value),,,122
