"Title","Median pay by ethnicity and region"
"Location",""
"Time period","2016"
"Data source","Annual Civil Service Employment Survey"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","6/10/2016"

"","All Groups","Asian","Black","Chinese","Mixed","White","Other"
"Region","£","£","£","£","£","£","£"
"All Regions","25,400","25,000","26,500","27,200","27,000","25,600","28,000"
"North East","20,190","20,100","19,800","19,800","21,600","22,200","22,800"
"North West","23,200","19,800","20,200","20,200","22,400","23,500","23,500"
"Yorkshire and The Humber","24,700","20,300","23,200","23,200","23,400","25,200","28,100"
"East Midlands","24,000","19,800","21,100","22,300","22,400","24,400","23,900"
"West Midlands","24,200","20,300","22,400","23,800","22,400","25,000","24,400"
"East","25,300","23,200","25,900","30,800","25,500","25,900","27,000"
"London","33,000","27,800","27,300","31,700","31,200","36,700","30,400"
"South East","26,200","24,200","24,400","24,000","25,700","26,400","26,100"
"South West","28,300","28,000","25,100","30,400","29,200","29,200","30,000"
"Wales","23,600","22,200","21,700","23,400","23,500","24,300","22,200"
"Scotland","23,500","20,400","18,600","20,200","24,800","24,400","25,200"
"Northern Ireland","23,200","26,600","!","!","23,600","23,200","!"
