"Title","Satisfaction with access to GP services"
"Location","England"
"Time period","2011/12 to 2016/17"
"Data source","NHS Digital"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01781&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28 September 2016"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value type","Denominator","Numerator","Lower CI","Upper CI","Unweighted respondents","Note"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","All","ONS 18+1","England","72.7","%","773,210.10","561,766.80","72.5","72.8","768,439",""
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","All","ONS 18+1","England","73.4","%","799,136.10","586,869.70","73.3","73.6","795,201",""
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","All","ONS 18+1","England","73.3","%","824,644.70","604,394.20","73.2","73.4","820,012",""
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","All","ONS 18+1","England","74.6","%","863,670.80","644,326.30","74.5","74.7","",""
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","All","ONS 18+1","England","76.3","%","933,601.20","712,732.40","76.2","76.5","",""
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","All","ONS 18+1","England","79.1","%","993,280.80","786,168.10","79","79.3","",""
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Black African","ONS 18+1","England","76","%","12,350.40","9,391.90","","","10,912","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Asian other","ONS 18+1","England","68.1","%","12,444.80","8,474.50","","","11,283","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Black other","ONS 18+1","England","75.2","%","3,343.10","2,512.70","","","3,324","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Any other ethnic group","ONS 18+1","England","71.8","%","18,987.30","13,632.80","","","17,619","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Mixed other","ONS 18+1","England","67.6","%","2,748.50","1,857.30","","","2,120","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","White other","ONS 18+1","England","72","%","50,742.10","36,528.70","","","39,001","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Arab","ONS 18+1","England","71.3","%","2,104.00","1,499.70","","","1,679","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Bangladeshi","ONS 18+1","England","58.9","%","5,139.20","3,025.10","","","3,918","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Black Caribbean","ONS 18+1","England","70.8","%","5,946.20","4,210.60","","","6,668","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Chinese","ONS 18+1","England","62.9","%","5,692.10","3,580.60","","","4,348","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","White British","ONS 18+1","England","73.8","%","596,340.10","439,984.60","","","610,172","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","White Gypsy or Irish Traveller","ONS 18+1","England","60.7","%","291.1","176.6","","","216","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Indian","ONS 18+1","England","61.2","%","19,701.20","12,066.80","","","20,273","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","White Irish","ONS 18+1","England","76.4","%","6,252.00","4,775.60","","","7,554","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Pakistani","ONS 18+1","England","56.4","%","13,190.30","7,444.20","","","12,055","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Mixed White/Asian","ONS 18+1","England","69.5","%","2,521.70","1,753.50","","","1,822","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Mixed White/Black African","ONS 18+1","England","73.3","%","1,417.20","1,038.40","","","1,125","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Mixed White/Black Caribbean","ONS 18+1","England","67.5","%","2,578.50","1,741.40","","","1,901","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Unknown","ONS 18+1","England","70.7","%","11,420.40","8,071.90","","","12,449","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Black African","ONS 18+1","England","76.4","%","12,901.50","9,852.60","","","11,767","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Asian other","ONS 18+1","England","69.2","%","12,092.00","8,366.40","","","11,545","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Black other","ONS 18+1","England","74","%","3,074.90","2,275.10","","","3,230","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Any other ethnic group","ONS 18+1","England","73","%","15,773.90","11,510.80","","","15,390","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Mixed other","ONS 18+1","England","72","%","2,415.00","1,738.20","","","1,964","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","White other","ONS 18+1","England","72.5","%","49,205.90","35,672.30","","","39,352","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Arab","ONS 18+1","England","71.8","%","1,978.10","1,419.40","","","1,734","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Bangladeshi","ONS 18+1","England","59","%","5,240.80","3,092.20","","","4,134","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Black Caribbean","ONS 18+1","England","72","%","5,775.70","4,156.00","","","6,932","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Chinese","ONS 18+1","England","63.8","%","5,866.00","3,741.50","","","4,563","No figures to report for upper and lower bounds"
