"Title","Renting from a private landlord by ethnicity and income"
"Location","England"
"Time period","2014/15 and 2015/16"
"Data source","English Housing Survey, 2014-15 and 2015-16 https://www.gov.uk/government/collections/english-housing-survey#2013-to-2014"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","NS-SEC group","Weekly income","Region","Denominator","Numerator","Value"
"White British","White British & other","England","England as a whole","All","All","All","All","All","Up to £99","All"," 183,039 "," 59,711 ","33"
"White British","White British & other","England","England as a whole","All","All","All","All","All","£100 to £199","All"," 1,623,813 "," 294,709 ","18"
"White British","White British & other","England","England as a whole","All","All","All","All","All","£200 to £299","All"," 2,290,104 "," 413,386 ","18"
"White British","White British & other","England","England as a whole","All","All","All","All","All","£300 to £399","All"," 2,121,559 "," 395,618 ","19"
"White British","White British & other","England","England as a whole","All","All","All","All","All","£400 to £499","All"," 1,793,046 "," 339,283 ","19"
"White British","White British & other","England","England as a whole","All","All","All","All","All","£500 to £599","All"," 1,641,076 "," 315,439 ","19"
"White British","White British & other","England","England as a whole","All","All","All","All","All","£600 to £699","All"," 1,521,753 "," 251,076 ","16"
"White British","White British & other","England","England as a whole","All","All","All","All","All","£700 to £799","All"," 1,234,900 "," 193,288 ","16"
"White British","White British & other","England","England as a whole","All","All","All","All","All","£800 to £899","All"," 1,099,098 "," 147,330 ","13"
"White British","White British & other","England","England as a whole","All","All","All","All","All","£900 to £999","All"," 875,735 "," 111,590 ","13"
"White British","White British & other","England","England as a whole","All","All","All","All","All","£1000 and above","All"," 4,424,028 "," 474,060 ","11"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","All","Up to £99","All"," 64,744 "," 23,448 ","36"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","All","£100 to £199","All"," 319,019 "," 123,561 ","39"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","All","£200 to £299","All"," 382,066 "," 108,725 ","28"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","All","£300 to £399","All"," 490,875 "," 216,102 ","44"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","All","£400 to £499","All"," 399,204 "," 150,078 ","38"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","All","£500 to £599","All"," 343,358 "," 156,464 ","46"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","All","£600 to £699","All"," 312,920 "," 122,579 ","39"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","All","£700 to £799","All"," 266,681 "," 110,892 ","42"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","All","£800 to £899","All"," 209,729 "," 77,255 ","37"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","All","£900 to £999","All"," 188,360 "," 65,557 ","35"
"All other ethnic groups","White British & other","England","England as a whole","All","All","All","All","All","£1000 and above","All"," 831,408 "," 248,789 ","30"
