"Title","Economic inactivity by ethnicity"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","January 2004"

"Ethnicity","%","Number"
"All","22","8,835,000"
"Asian","32","997,000"
"Indian","23","261,000"
"Pakistani/Bangladeshi","39","460,000"
"Asian other","34","276,000"
"Black","25","337,000"
"Mixed","28","143,000"
"White","21","7,087,000"
"White British","21","6,590,000"
"White other","17","497,000"
"Other","34","260,000"
