"age_band","Ethnicity","%","Total economically inactive"
"16-24","All","38","2,634,000"
"16-24","Asian","57","370,000"
"16-24","Indian","49","85,000"
"16-24","Pakistani and Bangladeshi","57","169,000"
"16-24","Asian other inc Chinese","65","116,000"
"16-24","Black","56","143,000"
"16-24","Mixed","45","83,000"
"16-24","White","34","1,949,000"
"16-24","White British","34","1,782,000"
"16-24","White other","40","166,000"
"16-24","Other","63","84,000"
"25-49","All","13","2,793,000"
"25-49","Asian","22","445,000"
"25-49","Indian","13","97,000"
"25-49","Pakistani and Bangladeshi","32","242,000"
"25-49","Asian other inc Chinese","22","106,000"
"25-49","Black","19","135,000"
"25-49","Mixed","15","42,000"
"25-49","White","12","2,031,000"
"25-49","White British","12","1,804,000"
"25-49","White other","10","228,000"
"25-49","Other","26","136,000"
"50-64","All","27","3,202,000"
"50-64","Asian","32","167,000"
"50-64","Indian","28","65,000"
"50-64","Pakistani and Bangladeshi","43","63,000"
"50-64","Asian other inc Chinese","27","39,000"
"50-64","Black","21","64,000"
"50-64","Mixed","?","?"
"50-64","White","27","2,905,000"
"50-64","White British","27","2,793,000"
"50-64","White other","24","112,000"
"50-64","Other","31","42,000"
"All (16-64)","All","22","8,629,000"
"All (16-64)","Asian","31","982,000"
"All (16-64)","Indian","22","247,000"
"All (16-64)","Pakistani and Bangladeshi","39","474,000"
"All (16-64)","Asian other inc Chinese","32","262,000"
"All (16-64)","Black","26","341,000"
"All (16-64)","Mixed","27","147,000"
"All (16-64)","White","20","6,885,000"
"All (16-64)","White British","21","6,379,000"
"All (16-64)","White other","16","506,000"
"All (16-64)","Other","33","261,000"
