"Title","Economic inactivity"
"Location","England, Wales and Scotland"
"Time period","2004 to 2017"
"Data source","Department for Work and Pensions"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-21"
"measure","year","region","ethnicity","ethnicity_type","sex","age_band","value","confidence_interval","numerator","denominator","samp_size"
"Percentage of individuals employed","2004","All","All","All","All","16-24","31.9","0.7","2100000","6588000","15681"
"Percentage of individuals employed","2004","All","All","All","All","25-49","15.8","0.4","3231000","20397000","26323"
"Percentage of individuals employed","2004","All","All","All","All","50-64","34.0","0.5","3493000","10264000","34207"
"Percentage of individuals employed","2004","All","All","All","All","All (16-64)","23.7","0.3","8824000","37248000","76211"
"Percentage of individuals employed","2004","All","All","All","Men","16-24","28.3","1.1","935000","3308000","6906"
"Percentage of individuals employed","2004","All","All","All","Men","25-49","8.2","0.7","823000","10088000","6256"
"Percentage of individuals employed","2004","All","All","All","Men","50-64","25.7","0.8","1301000","5055000","12515"
"Percentage of individuals employed","2004","All","All","All","Men","All (16-64)","16.6","0.5","3058000","18450000","25677"
"Percentage of individuals employed","2004","All","All","All","Women","16-24","35.5","1","1165000","3280000","8775"
"Percentage of individuals employed","2004","All","All","All","Women","25-49","23.4","0.6","2408000","10309000","20067"
"Percentage of individuals employed","2004","All","All","All","Women","50-64","42.1","0.7","2193000","5209000","21692"
"Percentage of individuals employed","2004","All","All","All","Women","All (16-64)","30.7","0.4","5765000","18798000","50534"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","All","16-24","52.5","4.2","253000","482000","1362"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","All","25-49","28.5","3.2","330000","1157000","1939"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","All","50-64","45.8","5.3","129000","282000","836"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","All","All (16-64)","37.0","2.3","712000","1921000","4137"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","Men","16-24","49.0","6.1","125000","256000","647"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","Men","25-49","12.3","5.3","72000","585000","365"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","Men","50-64","30.1","8.8","42000","140000","259"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","Men","All (16-64)","24.4","3.7","239000","980000","1271"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","Women","16-24","56.4","5.7","127000","226000","715"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","Women","25-49","45.1","3.9","258000","572000","1574"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","Women","50-64","61.3","6.3","87000","142000","577"
"Percentage of individuals employed","2004","All","Asian","ONS 2011 5+1","Women","All (16-64)","50.2","2.9","473000","941000","2866"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","All","16-24","46.9","7.9","84000","178000","380"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","All","25-49","25.2","5.3","137000","544000","654"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","All","50-64","35.4","11","36000","101000","182"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","All","All (16-64)","31.1","4.1","256000","823000","1216"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","Men","16-24","42.1","11.9","34000","81000","165"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","Men","25-49","17.2","8.4","43000","248000","194"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","Men","All (16-64)","23.8","6.5","89000","372000","416"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","Women","16-24","50.9","10.6","49000","97000","215"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","Women","25-49","31.9","6.7","94000","296000","460"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","Women","50-64","41.4","13.6","24000","58000","125"
"Percentage of individuals employed","2004","All","Black","ONS 2011 5+1","Women","All (16-64)","37.2","5.3","168000","451000","800"
"Percentage of individuals employed","2004","All","Indian","Detailed","All","16-24","45.7","7.7","75000","165000","399"
"Percentage of individuals employed","2004","All","Indian","Detailed","All","25-49","16.8","5.3","79000","472000","478"
"Percentage of individuals employed","2004","All","Indian","Detailed","All","50-64","39.2","7.9","57000","146000","370"
"Percentage of individuals employed","2004","All","Indian","Detailed","All","All (16-64)","27.1","3.9","212000","782000","1247"
"Percentage of individuals employed","2004","All","Indian","Detailed","Men","16-24","44.0","10.8","40000","91000","202"
"Percentage of individuals employed","2004","All","Indian","Detailed","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Indian","Detailed","Men","50-64","24.4","12.6","19000","76000","112"
"Percentage of individuals employed","2004","All","Indian","Detailed","Men","All (16-64)","18.9","6","76000","403000","411"
"Percentage of individuals employed","2004","All","Indian","Detailed","Women","16-24","47.8","11","35000","74000","197"
"Percentage of individuals employed","2004","All","Indian","Detailed","Women","25-49","26.2","7","62000","235000","381"
"Percentage of individuals employed","2004","All","Indian","Detailed","Women","50-64","55.3","9.6","39000","70000","258"
"Percentage of individuals employed","2004","All","Indian","Detailed","Women","All (16-64)","35.8","5.1","136000","379000","836"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","All","16-24","39.0","9.4","44000","112000","256"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","All","25-49","21.1","9.2","30000","141000","189"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","All","All (16-64)","29.1","6.4","79000","271000","490"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","Men","16-24","35.3","14.2","18000","52000","109"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","Men","All (16-64)","21.6","10.1","26000","121000","160"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","Women","16-24","42.2","12.6","25000","60000","147"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","Women","25-49","29.9","11.5","23000","79000","151"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Mixed","ONS 2011 5+1","Women","All (16-64)","35.2","8.1","53000","150000","330"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","All","16-24","54.9","10","49000","89000","239"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","All","25-49","33.1","6.2","101000","307000","544"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","All","50-64","36.5","12.4","24000","64000","144"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","All","All (16-64)","37.8","4.9","174000","460000","927"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","Men","16-24","48.8","14.4","24000","49000","116"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","Men","25-49","21.6","10","34000","158000","162"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","Men","All (16-64)","28.0","7.6","67000","238000","334"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","Women","16-24","62.2","13.5","25000","40000","123"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","Women","25-49","45.3","7.9","68000","149000","382"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Other","ONS 2011 5+1","Women","All (16-64)","48.2","6.4","107000","223000","593"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","All","16-24","56.9","8.8","59000","104000","303"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","All","25-49","27.6","7","72000","261000","392"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","All","50-64","33.4","12.3","20000","59000","142"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","All","All (16-64)","35.6","5.1","151000","424000","837"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","Men","16-24","59.6","11.6","35000","59000","173"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","Men","All (16-64)","28.8","8.1","61000","213000","302"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","Women","16-24","53.2","13.6","24000","45000","130"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","Women","25-49","39.1","8.7","52000","134000","304"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","Women","50-64","41.8","15.2","13000","32000","101"
"Percentage of individuals employed","2004","All","Other Asian","Detailed","Women","All (16-64)","42.5","6.6","90000","211000","535"
"Percentage of individuals employed","2004","All","Other than White","White and Other","All","16-24","49.8","3.3","429000","860000","2237"
"Percentage of individuals employed","2004","All","Other than White","White and Other","All","25-49","27.8","2.4","598000","2149000","3326"
"Percentage of individuals employed","2004","All","Other than White","White and Other","All","50-64","41.7","4.4","194000","466000","1207"
"Percentage of individuals employed","2004","All","Other than White","White and Other","All","All (16-64)","35.1","1.8","1221000","3475000","6770"
"Percentage of individuals employed","2004","All","Other than White","White and Other","Men","16-24","46.1","4.8","201000","437000","1037"
"Percentage of individuals employed","2004","All","Other than White","White and Other","Men","25-49","14.7","4","155000","1053000","759"
"Percentage of individuals employed","2004","All","Other than White","White and Other","Men","50-64","29.1","7.2","64000","221000","385"
"Percentage of individuals employed","2004","All","Other than White","White and Other","Men","All (16-64)","24.6","2.9","420000","1711000","2181"
"Percentage of individuals employed","2004","All","Other than White","White and Other","Women","16-24","53.7","4.5","227000","424000","1200"
"Percentage of individuals employed","2004","All","Other than White","White and Other","Women","25-49","40.5","3","443000","1096000","2567"
"Percentage of individuals employed","2004","All","Other than White","White and Other","Women","50-64","53.1","5.4","130000","245000","822"
"Percentage of individuals employed","2004","All","Other than White","White and Other","Women","All (16-64)","45.4","2.3","801000","1764000","4589"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","All","16-24","55.6","6","118000","212000","660"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","All","25-49","42.0","4.7","178000","424000","1069"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","All","50-64","67.4","8.1","53000","78000","324"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","All","All (16-64)","48.8","3.4","349000","714000","2053"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","Men","16-24","47.4","9.4","50000","105000","272"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","Men","25-49","15.5","8.3","34000","221000","180"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","Men","50-64","46.3","15","17000","38000","106"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","Men","All (16-64)","27.9","5.9","101000","364000","558"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","Women","16-24","63.7","7.6","68000","107000","388"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","Women","25-49","70.9","4.7","144000","203000","889"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","Women","50-64","87.2","7","35000","40000","218"
"Percentage of individuals employed","2004","All","Pakistani/Bangladeshi","Detailed","Women","All (16-64)","70.6","3.7","247000","350000","1495"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","All","Unknown","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
