"Title","Economic inactivity by ethnicity and age"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","January 2004"

"AGE_BAND","Ethnicity","%","Number"
"16-24","All","38","2,671,000"
"16-24","Indian","59","94,000"
"16-24","Pakistani/Bangladeshi","56","150,000"
"16-24","Asian other","68","121,000"
"16-24","Black","50","140,000"
"16-24","Mixed","47","82,000"
"16-24","White British","35","1,866,000"
"16-24","White other","36","136,000"
"16-24","Other","61","79,000"
"25-49","All","14","2,937,000"
"25-49","Indian","14","108,000"
"25-49","Pakistani/Bangladeshi","32","243,000"
"25-49","Asian other","23","115,000"
"25-49","Black","18","131,000"
"25-49","Mixed","16","44,000"
"25-49","White British","12","1,893,000"
"25-49","White other","12","261,000"
"25-49","Other","28","140,000"
"50-64","All","27","3,226,000"
"50-64","Indian","27","59,000"
"50-64","Pakistani/Bangladeshi","46","67,000"
"50-64","Asian other","28","40,000"
"50-64","Black","22","66,000"
"50-64","Mixed","?","?"
"50-64","White British","27","2,831,000"
"50-64","White other","23","101,000"
"50-64","Other","32","41,000"
