"Ethnicity","region","%","Total economically active"
"All","All","22","8,629,000"
"All","East Midlands","22","654,000"
"All","East of England","19","721,000"
"All","London","22","1,319,000"
"All","North East","25","405,000"
"All","North West","24","1,053,000"
"All","Scotland","23","769,000"
"All","South East","19","1,031,000"
"All","South West","19","616,000"
"All","Wales","24","455,000"
"All","West Midlands","24","841,000"
"All","Yorkshire and The Humber","23","766,000"
"White","All","20","6,885,000"
"White","East Midlands","21","534,000"
"White","East of England","19","628,000"
"White","London","18","653,000"
"White","North East","24","374,000"
"White","North West","22","878,000"
"White","Scotland","22","705,000"
"White","South East","18","898,000"
"White","South West","18","570,000"
"White","Wales","23","419,000"
"White","West Midlands","21","606,000"
"White","Yorkshire and The Humber","21","620,000"
"Other than White","All","30","1,732,000"
"Other than White","East Midlands","34","119,000"
"Other than White","East of England","24","93,000"
"Other than White","London","28","662,000"
"Other than White","North East","36","31,000"
"Other than White","North West","35","175,000"
"Other than White","Scotland","36","63,000"
"Other than White","South East","23","131,000"
"Other than White","South West","26","45,000"
"Other than White","Wales","37","36,000"
"Other than White","West Midlands","35","234,000"
"Other than White","Yorkshire and The Humber","37","144,000"
