"Title","Economic inactivity by ethnicity and age group"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","December 2017"

"","16-24","","25-49","","50-64","","All (16-64)",""
"","%","Total economically inactive","%","Total economically inactive","%","Total economically inactive","%","Total economically inactive"
"All","38","2,634,000","13","2,793,000","27","3,202,000","22","8,629,000"
"Asian","57","370,000","22","445,000","32","167,000","31","982,000"
"Indian","49","85,000","13","97,000","28","65,000","22","247,000"
"Pakistani and Bangladeshi","57","169,000","32","242,000","43","63,000","39","474,000"
"Asian other inc Chinese","65","116,000","22","106,000","27","39,000","32","262,000"
"Black","56","143,000","19","135,000","21","64,000","26","341,000"
"Mixed","45","83,000","15","42,000","?","?","27","147,000"
"White","34","1,949,000","12","2,031,000","27","2,905,000","20","6,885,000"
"White British","34","1,782,000","12","1,804,000","27","2,793,000","21","6,379,000"
"White other","40","166,000","10","228,000","24","112,000","16","506,000"
"Other","63","84,000","26","136,000","31","42,000","33","261,000"
