"Title","Economic inactivity for 16 to 24 year olds over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","January 2004"

"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","32","32","33","33","34","35","38","37","37","38","39","37","38"
"Indian","46","49","44","45","48","51","51","N/A","46","54","58","54","59"
"Pakistani/Bangladeshi","56","55","52","56","52","54","56","N/A","56","52","55","53","56"
"Asian other","57","60","60","62","59","65","70","N/A","68","69","69","67","68"
"Black","47","50","48","49","53","52","55","N/A","53","53","54","56","50"
"Mixed","39","41","38","39","45","47","45","N/A","42","38","43","46","47"
"White British","29","29","30","31","31","32","34","N/A","34","34","35","34","35"
"White other","36","30","27","31","30","35","37","N/A","44","42","41","36","36"
"Other","55","53","53","55","50","60","61","N/A","58","63","65","59","61"
