"Title","Entry rates into higher education"
"Location","England"
"Time period","2006 to 2017"
"Data source","Department for Education"
"Data source link","https://www.ucas.com/corporate/data-and-analysis/ucas-undergraduate-releases/ucas-undergraduate-analysis-reports/2017-end-cycle-report"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-05-11"
"measure","time","time_type","ethnicity","ethnicity_type","geography","value","value_type"
"Percentage of 18-year-old state school pupils getting a higher education place","2006","Year","Other","ONS 2001 5+1","England","27","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2006","Year","Asian","ONS 2001 5+1","England","34.5","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2006","Year","Black","ONS 2001 5+1","England","21.6","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2006","Year","Chinese","ONS 2001 5+1","England","53.6","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2006","Year","Mixed","ONS 2001 5+1","England","22.9","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2006","Year","White","ONS 2001 5+1","England","21.8","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2007","Year","Other","ONS 2001 5+1","England","27.1","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2007","Year","Asian","ONS 2001 5+1","England","34.6","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2007","Year","Black","ONS 2001 5+1","England","23.1","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2007","Year","Chinese","ONS 2001 5+1","England","52.8","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2007","Year","Mixed","ONS 2001 5+1","England","24.3","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2007","Year","White","ONS 2001 5+1","England","22.2","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2008","Year","Other","ONS 2001 5+1","England","27.9","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2008","Year","Asian","ONS 2001 5+1","England","35.7","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2008","Year","Black","ONS 2001 5+1","England","25.7","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2008","Year","Chinese","ONS 2001 5+1","England","52","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2008","Year","Mixed","ONS 2001 5+1","England","25","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2008","Year","White","ONS 2001 5+1","England","23.5","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2009","Year","Other","ONS 2001 5+1","England","27.8","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2009","Year","Asian","ONS 2001 5+1","England","36.1","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2009","Year","Black","ONS 2001 5+1","England","27","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2009","Year","Chinese","ONS 2001 5+1","England","52.6","%"
"Percentage of 18-year-old state school pupils getting a higher education place","2009","Year","Mixed","ONS 2001 5+1","England","25.7","%"
