"Title","Entry rates into higher education by ethnicity"
"Location","England"
"Time period","2006 to 2017"
"Data source","UCAS End Of Cycle Report 2017"
"Data source link","https://www.ucas.com/corporate/data-and-analysis/ucas-undergraduate-releases/ucas-undergraduate-analysis-reports/2017-end-cycle-report"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","Year","%"
"Asian","2006","34.5"
"Asian","2007","34.6"
"Asian","2008","35.7"
"Asian","2009","36.1"
"Asian","2010","35.0"
"Asian","2011","37.0"
"Asian","2012","36.1"
"Asian","2013","38.6"
"Asian","2014","39.8"
"Asian","2015","42.3"
"Asian","2016","44.1"
"Asian","2017","45.8"
"Black","2006","21.6"
"Black","2007","23.1"
"Black","2008","25.7"
"Black","2009","27.0"
"Black","2010","28.4"
"Black","2011","31.7"
"Black","2012","31.4"
"Black","2013","34.7"
"Black","2014","36.0"
"Black","2015","38.4"
"Black","2016","39.1"
"Black","2017","40.4"
"Chinese","2006","53.6"
"Chinese","2007","52.8"
"Chinese","2008","52.0"
"Chinese","2009","52.6"
"Chinese","2010","52.6"
"Chinese","2011","60.1"
"Chinese","2012","57.1"
"Chinese","2013","57.4"
"Chinese","2014","59.3"
"Chinese","2015","61.0"
"Chinese","2016","60.8"
"Chinese","2017","63.0"
"Mixed","2006","22.9"
"Mixed","2007","24.3"
"Mixed","2008","25.0"
"Mixed","2009","25.7"
"Mixed","2010","25.6"
"Mixed","2011","28.9"
"Mixed","2012","27.8"
"Mixed","2013","29.2"
"Mixed","2014","31.0"
"Mixed","2015","32.3"
"Mixed","2016","33.4"
"Mixed","2017","34.0"
"White","2006","21.8"
"White","2007","22.2"
"White","2008","23.5"
"White","2009","24.1"
"White","2010","24.2"
"White","2011","25.8"
"White","2012","24.7"
"White","2013","26.1"
"White","2014","27.3"
"White","2015","27.9"
"White","2016","28.9"
"White","2017","29.3"
"Other","2006","27.0"
"Other","2007","27.1"
"Other","2008","27.9"
"Other","2009","27.8"
"Other","2010","27.8"
"Other","2011","30.5"
"Other","2012","30.6"
"Other","2013","32.0"
"Other","2014","34.3"
"Other","2015","36.8"
"Other","2016","38.0"
"Other","2017","40.1"
