"Title","Inpatient satisfaction with hospital care"
"Location","England"
"Time period","2013/14 to 2016/17"
"Data source","NHS Digital"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01774&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Unweighted Respondents","Value_type","Note"
"Patient experience of hospital care","2016-17","Year","All","ONS 18","England","76.7","73358","average score",""
"Patient experience of hospital care","2015-16","Year","All","ONS 18","England","77.3","76993","average score",""
"Patient experience of hospital care","2014-15","Year","All","ONS 18","England","76.6","55292","average score",""
"Patient experience of hospital care","2013-14","Year","All","ONS 18","England","76.9","58624","average score",""
"Patient experience of hospital care","2016-17","Year","Black African","ONS 18","England","76.3","453","average score",""
"Patient experience of hospital care","2016-17","Year","Asian other","ONS 18","England","77.4","280","average score",""
"Patient experience of hospital care","2016-17","Year","Black other","ONS 18","England","78.6","52","average score",""
"Patient experience of hospital care","2016-17","Year","Any other ethnic group","ONS 18","England","78","59","average score",""
"Patient experience of hospital care","2016-17","Year","Mixed other","ONS 18","England","80.6","76","average score",""
"Patient experience of hospital care","2016-17","Year","White other","ONS 18","England","77.8","1247","average score",""
"Patient experience of hospital care","2016-17","Year","Arab","ONS 18","England","77.4","74","average score",""
"Patient experience of hospital care","2016-17","Year","Bangladeshi","ONS 18","England","72","109","average score",""
"Patient experience of hospital care","2016-17","Year","Black Caribbean","ONS 18","England","75","471","average score",""
"Patient experience of hospital care","2016-17","Year","Chinese","ONS 18","England","73.4","153","average score",""
"Patient experience of hospital care","2016-17","Year","Indian","ONS 18","England","74.8","943","average score",""
"Patient experience of hospital care","2016-17","Year","Pakistani","ONS 18","England","74.4","531","average score",""
"Patient experience of hospital care","2016-17","Year","Mixed White/Asian","ONS 18","England","74.3","164","average score",""
"Patient experience of hospital care","2016-17","Year","Mixed White/Black African","ONS 18","England","78.6","75","average score",""
"Patient experience of hospital care","2016-17","Year","Mixed White/Black Caribbean","ONS 18","England","74.5","169","average score",""
"Patient experience of hospital care","2016-17","Year","White British","ONS 18","England","76.9","67803","average score",""
"Patient experience of hospital care","2016-17","Year","White Gypsy or Irish Traveller","ONS 18","England","81.9","38","average score",""
"Patient experience of hospital care","2016-17","Year","White Irish","ONS 18","England","81.1","661","average score",""
"Patient experience of hospital care","2015-16","Year","Black African","ONS 18","England","77.8","498","average score",""
"Patient experience of hospital care","2015-16","Year","Asian other","ONS 18","England","80","249","average score",""
"Patient experience of hospital care","2015-16","Year","Black other","ONS 18","England","71.1","48","average score",""
"Patient experience of hospital care","2015-16","Year","Any other ethnic group","ONS 18","England","78.4","65","average score",""
"Patient experience of hospital care","2015-16","Year","Mixed other","ONS 18","England","79.3","95","average score",""
"Patient experience of hospital care","2015-16","Year","White other","ONS 18","England","77.3","1211","average score",""
"Patient experience of hospital care","2015-16","Year","Arab","ONS 18","England","76.6","76","average score",""
