"Title","Inpatient satisfaction with hospital care by ethnicity"
"Location","England"
"Time period","2013/14 to 2016/17"
"Data source","NHS Outcomes Framework"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01774&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","April 2011"

"","2013-14","2014-15","2015-16","2016-17"
"Ethnicity","Average score","Average score","Average score","Average score"
"All","76.9","76.6","77.3","76.7"
"Asian","","","",""
"Bangladeshi","70.8","72.7","73.2","72.0"
"Chinese","70.8","78.5","73.7","73.4"
"Indian","73.9","74.0","75.9","74.8"
"Pakistani","72.3","72.0","73.5","74.4"
"Asian other","78.7","77.0","80.0","77.4"
"Black","","","",""
"Black African","76.5","75.5","77.8","76.3"
"Black Caribbean","74.6","77.0","76.1","75.0"
"Black other","72.8","77.1","71.1","78.6"
"Mixed","","","",""
"Mixed White/Asian","75.5","75.5","75.1","74.3"
"Mixed White/Black African","68.6","78.1","71.6","78.6"
"Mixed White/Black Caribbean","75.5","82.1","79.6","74.5"
"Mixed other","80.7","70.1","79.3","80.6"
"White","","","",""
"White British","77.1","76.8","77.6","76.9"
"White Irish","78.9","79.7","80.3","81.1"
"White Gypsy or Irish Traveller","59.0","!","75.1","81.9"
"White other","77.8","75.4","77.3","77.8"
"Other","","","",""
"Arab","71.6","72.5","76.6","77.4"
"Any other","80.4","70.9","78.4","78.0"
