"Title","Income spent on rent for new social lettings by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Ethnicity","Value"
"North East","White: British","36"
"North East","White: Irish","40"
"North East","White: Other","33"
"North East","White & Black Caribbean","32"
"North East","White & Black African","36"
"North East","White & Asian","46"
"North East","Mixed: Other","36"
"North East","Indian","34"
"North East","Pakistani","37"
"North East","Bangladeshi","31"
"North East","Asian: Other","42"
"North East","Black Caribbean","42"
"North East","Black African","38"
"North East","Black: Other","38"
"North East","Chinese","38"
"North East","Any other","36"
"North East","White: Gypsy, Irish Traveller","41"
"North East","Arab","40"
"North East","White",""
"North East","Black",""
"North East","Asian",""
"North East","Mixed",""
"North East","Other",""
"North West","White: British","36"
"North West","White: Irish","37"
"North West","White: Other","29"
"North West","White & Black Caribbean","37"
"North West","White & Black African","36"
"North West","White & Asian","39"
"North West","Mixed: Other","33"
"North West","Indian","35"
"North West","Pakistani","32"
"North West","Bangladeshi","31"
"North West","Asian: Other","37"
"North West","Black Caribbean","38"
"North West","Black African","35"
"North West","Black: Other","36"
"North West","Chinese","32"
"North West","Any other","38"
"North West","White: Gypsy, Irish Traveller","35"
"North West","Arab","39"
"North West","White",""
"North West","Black",""
"North West","Asian",""
"North West","Mixed",""
"North West","Other",""
"Yorkshire & Humber","White: British","35"
"Yorkshire & Humber","White: Irish","38"
"Yorkshire & Humber","White: Other","28"
"Yorkshire & Humber","White & Black Caribbean","38"
"Yorkshire & Humber","White & Black African","34"
"Yorkshire & Humber","White & Asian","39"
"Yorkshire & Humber","Mixed: Other","34"
"Yorkshire & Humber","Indian","35"
"Yorkshire & Humber","Pakistani","33"
"Yorkshire & Humber","Bangladeshi","30"
"Yorkshire & Humber","Asian: Other","36"
"Yorkshire & Humber","Black Caribbean","38"
"Yorkshire & Humber","Black African","33"
"Yorkshire & Humber","Black: Other","36"
"Yorkshire & Humber","Chinese","26"
"Yorkshire & Humber","Any other","34"
"Yorkshire & Humber","White: Gypsy, Irish Traveller","33"
"Yorkshire & Humber","Arab","34"
"Yorkshire & Humber","White",""
"Yorkshire & Humber","Black",""
"Yorkshire & Humber","Asian",""
"Yorkshire & Humber","Mixed",""
"Yorkshire & Humber","Other",""
"East Midlands","White: British","35"
"East Midlands","White: Irish","40"
"East Midlands","White: Other","29"
"East Midlands","White & Black Caribbean","37"
"East Midlands","White & Black African","38"
"East Midlands","White & Asian","33"
"East Midlands","Mixed: Other","36"
"East Midlands","Indian","34"
"East Midlands","Pakistani","34"
"East Midlands","Bangladeshi","35"
"East Midlands","Asian: Other","35"
"East Midlands","Black Caribbean","37"
"East Midlands","Black African","33"
"East Midlands","Black: Other","35"
"East Midlands","Chinese","34"
"East Midlands","Any other","33"
"East Midlands","White: Gypsy, Irish Traveller","35"
"East Midlands","Arab","36"
"East Midlands","White",""
"East Midlands","Black",""
"East Midlands","Asian",""
"East Midlands","Mixed",""
"East Midlands","Other",""
"West Midlands","White: British","37"
"West Midlands","White: Irish","38"
"West Midlands","White: Other","31"
"West Midlands","White & Black Caribbean","38"
"West Midlands","White & Black African","37"
"West Midlands","White & Asian","39"
"West Midlands","Mixed: Other","34"
"West Midlands","Indian","37"
"West Midlands","Pakistani","33"
"West Midlands","Bangladeshi","32"
"West Midlands","Asian: Other","38"
"West Midlands","Black Caribbean","40"
"West Midlands","Black African","36"
"West Midlands","Black: Other","37"
"West Midlands","Chinese","34"
"West Midlands","Any other","37"
"West Midlands","White: Gypsy, Irish Traveller","39"
"West Midlands","Arab","35"
"West Midlands","White",""
"West Midlands","Black",""
"West Midlands","Asian",""
"West Midlands","Mixed",""
"West Midlands","Other",""
"East of England","White: British","39"
"East of England","White: Irish","40"
"East of England","White: Other","34"
"East of England","White & Black Caribbean","42"
"East of England","White & Black African","40"
"East of England","White & Asian","38"
"East of England","Mixed: Other","36"
"East of England","Indian","39"
"East of England","Pakistani","34"
"East of England","Bangladeshi","36"
"East of England","Asian: Other","37"
"East of England","Black Caribbean","40"
"East of England","Black African","37"
"East of England","Black: Other","39"
"East of England","Chinese","40"
"East of England","Any other","40"
"East of England","White: Gypsy, Irish Traveller","36"
"East of England","Arab","45"
"East of England","White",""
"East of England","Black",""
"East of England","Asian",""
"East of England","Mixed",""
"East of England","Other",""
"London","White: British","46"
"London","White: Irish","46"
"London","White: Other","44"
"London","White & Black Caribbean","47"
"London","White & Black African","45"
"London","White & Asian","47"
"London","Mixed: Other","46"
"London","Indian","44"
"London","Pakistani","42"
"London","Bangladeshi","42"
"London","Asian: Other","44"
"London","Black Caribbean","47"
"London","Black African","43"
"London","Black: Other","44"
"London","Chinese","44"
"London","Any other","43"
"London","White: Gypsy, Irish Traveller","46"
"London","Arab","48"
"London","White",""
"London","Black",""
"London","Asian",""
"London","Mixed",""
"London","Other",""
"South East","White: British","40"
"South East","White: Irish","39"
"South East","White: Other","36"
"South East","White & Black Caribbean","42"
"South East","White & Black African","40"
"South East","White & Asian","37"
"South East","Mixed: Other","37"
"South East","Indian","39"
"South East","Pakistani","36"
"South East","Bangladeshi","37"
"South East","Asian: Other","40"
"South East","Black Caribbean","43"
"South East","Black African","39"
"South East","Black: Other","41"
"South East","Chinese","41"
"South East","Any other","39"
"South East","White: Gypsy, Irish Traveller","43"
"South East","Arab","45"
"South East","White",""
"South East","Black",""
"South East","Asian",""
"South East","Mixed",""
"South East","Other",""
"South West","White: British","36"
"South West","White: Irish","37"
"South West","White: Other","32"
"South West","White & Black Caribbean","41"
"South West","White & Black African","37"
"South West","White & Asian","36"
"South West","Mixed: Other","36"
"South West","Indian","31"
"South West","Pakistani","36"
"South West","Bangladeshi","38"
"South West","Asian: Other","37"
"South West","Black Caribbean","38"
"South West","Black African","37"
"South West","Black: Other","33"
"South West","Chinese","33"
"South West","Any other","38"
"South West","White: Gypsy, Irish Traveller","35"
"South West","Arab","34"
"South West","White",""
"South West","Black",""
"South West","Asian",""
"South West","Mixed",""
"South West","Other",""
