"Title","Overcrowded households by ethnicity"
"Location","England"
"Time period","2013/14, 2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Value","Denominator","Numerator"
"English / Welsh / Scottish / Northern Irish / British","2","18,827,771","315,474"
"Irish","5","202,418","9,689"
"Gypsy or Irish Traveller","?","?","?"
"Any Other White background","7","1,052,401","78,902"
"White and Black Caribbean","4","98,107","4,374"
"White and Black African","7","75,210","5,239"
"White and Asian","3","64,126","1,904"
"Any other Mixed / multiple ethnic background","5","43,212","2,171"
"Indian","8","486,845","36,836"
"Pakistani","15","327,347","50,107"
"Bangladeshi","30","108,241","32,465"
"Chinese","7","132,162","9,770"
"Any other Asian background","10","213,555","22,247"
"African","15","360,219","53,154"
"Caribbean","8","285,256","22,339"
"Any other Black background","16","33,438","5,363"
"Arab","11","64,164","7,007"
"Any other ethnic group","8","233,069","19,653"
"Other","","",""
"White","","",""
"Asian","","",""
"Mixed","","",""
"Black","","",""
