"Title","Overcrowded households by ethnicity and age"
"Location","England"
"Time period","2013/14, 2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Age","Value","Denominator","Numerator","Sample size"
"White British"," 16 - 24 yrs old","3"," 573,254 "," 17,244 "," 984 "
"White British"," 25 - 34 yrs old","3"," 2,396,932 "," 74,103 "," 4,082 "
"White British"," 35 - 44 yrs old","3"," 2,941,139 "," 90,418 "," 5,296 "
"White British"," 45 - 54 yrs old","2"," 3,766,221 "," 90,827 "," 6,601 "
"White British"," 55 - 64 yrs old","1"," 3,249,826 "," 29,835 "," 6,044 "
"White British"," 65 yrs old or over","0"," 5,900,399 "," 13,047 "," 10,712 "
"All other ethnic groups"," 16 - 24 yrs old","9"," 202,590 "," 17,354 "," 269 "
"All other ethnic groups"," 25 - 34 yrs old","10"," 901,571 "," 87,225 "," 1,393 "
"All other ethnic groups"," 35 - 44 yrs old","12"," 1,044,794 "," 125,466 "," 1,743 "
"All other ethnic groups"," 45 - 54 yrs old","12"," 761,583 "," 91,065 "," 1,291 "
"All other ethnic groups"," 55 - 64 yrs old","6"," 413,099 "," 24,590 "," 708 "
"All other ethnic groups"," 65 yrs old or over","3"," 462,057 "," 15,684 "," 762 "
