"Title","Overcrowded households by ethnicity and income"
"Location","England"
"Time period","2013/14, 2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","NS-SEC group","Income band","Region","Tenure","Value","Denominator","Numerator","Sample size"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","White British","White & other","England","England as a whole","All","All","All","All","All","Up to £99","All","All","0","219,652","0","446"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","White British","White & other","England","England as a whole","All","All","All","All","All","£100 to £199","All","All","1","1,658,642","12,947","3417"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","White British","White & other","England","England as a whole","All","All","All","All","All","£200 to £299","All","All","1","2,330,425","27,102","4699"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","White British","White & other","England","England as a whole","All","All","All","All","All","£300 to £399","All","All","2","2,167,669","35,323","4122"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","White British","White & other","England","England as a whole","All","All","All","All","All","£400 to £499","All","All","2","1,769,992","37,957","3326"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","White British","White & other","England","England as a whole","All","All","All","All","All","£500 to £599","All","All","2","1,640,197","33,553","2940"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","White British","White & other","England","England as a whole","All","All","All","All","All","£600 to £699","All","All","2","1,540,292","35,478","2697"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","White British","White & other","England","England as a whole","All","All","All","All","All","£700 to £799","All","All","2","1,283,624","29,271","2172"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","White British","White & other","England","England as a whole","All","All","All","All","All","£800 to £899","All","All","2","1,076,614","20,393","1772"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","White British","White & other","England","England as a whole","All","All","All","All","All","£900 to £999","All","All","2","854,316","13,762","1436"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","White British","White & other","England","England as a whole","All","All","All","All","All","£1000 and above","All","All","2","4,284,737","69,688","6688"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","All other ethnic groups","White & other","England","England as a whole","All","All","All","All","All","Up to £99","All","All","1","63,678","856","116"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","All other ethnic groups","White & other","England","England as a whole","All","All","All","All","All","£100 to £199","All","All","7","333,662","22,847","578"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","All other ethnic groups","White & other","England","England as a whole","All","All","All","All","All","£200 to £299","All","All","7","401,075","29,454","739"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","All other ethnic groups","White & other","England","England as a whole","All","All","All","All","All","£300 to £399","All","All","13","474,903","63,438","825"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","All other ethnic groups","White & other","England","England as a whole","All","All","All","All","All","£400 to £499","All","All","13","426,782","56,462","722"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","All other ethnic groups","White & other","England","England as a whole","All","All","All","All","All","£500 to £599","All","All","12","332,926","40,148","576"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","All other ethnic groups","White & other","England","England as a whole","All","All","All","All","All","£600 to £699","All","All","8","296,515","22,416","473"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","All other ethnic groups","White & other","England","England as a whole","All","All","All","All","All","£700 to £799","All","All","8","261,015","20,453","416"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","All other ethnic groups","White & other","England","England as a whole","All","All","All","All","All","£800 to £899","All","All","9","210,022","19,869","314"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","All other ethnic groups","White & other","England","England as a whole","All","All","All","All","All","£900 to £999","All","All","12","170,613","19,808","234"
"Are people in the relevant group more or less likely to be living in an overcrowded home","2014-15 and 2015-16","Two years","All other ethnic groups","White & other","England","England as a whole","All","All","All","All","All","£1000 and above","All","All","8","814,503","65,635","1173"
