"Standard Ethnicity","Year","Apprentices"
"All","2008/09","444,800"
"All","2009/10","491,300"
"All","2010/11","665,900"
"All","2011/12","806,500"
"All","2012/13","868,700"
"All","2013/14","851,500"
"All","2014/15","871,800"
"All","2015/16","899,400"
"Asian","2008/09","13,720"
"Asian","2009/10","14,440"
"Asian","2010/11","24,540"
"Asian","2011/12","31,640"
"Asian","2012/13","32,800"
"Asian","2013/14","34,000"
"Asian","2014/15","37,000"
"Asian","2015/16","38,400"
"Black","2008/09","7,840"
"Black","2009/10","10,010"
"Black","2010/11","17,950"
"Black","2011/12","25,450"
"Black","2012/13","28,500"
"Black","2013/14","27,400"
"Black","2014/15","29,500"
"Black","2015/16","31,500"
"Mixed","2008/09","6,430"
"Mixed","2009/10","7,890"
"Mixed","2010/11","11,380"
"Mixed","2011/12","14,290"
"Mixed","2012/13","16,200"
"Mixed","2013/14","17,000"
"Mixed","2014/15","18,300"
"Mixed","2015/16","19,100"
"White","2008/09","410,960"
"White","2009/10","452,680"
"White","2010/11","602,420"
"White","2011/12","722,760"
"White","2012/13","776,200"
"White","2013/14","758,400"
"White","2014/15","773,400"
"White","2015/16","791,700"
"Other","2008/09","1,990"
"Other","2009/10","2,330"
"Other","2010/11","4,140"
"Other","2011/12","5,540"
"Other","2012/13","6,000"
"Other","2013/14","5,500"
"Other","2014/15","5,900"
"Other","2015/16","6,200"
"Unknown","2008/09","3,830"
"Unknown","2009/10","3,920"
"Unknown","2010/11","5,460"
"Unknown","2011/12","6,800"
"Unknown","2012/13","9,000"
"Unknown","2013/14","9,100"
"Unknown","2014/15","7,600"
"Unknown","2015/16","12,500"
"Ethnic minority (excl.White Minorities)","2008/09","29,980"
"Ethnic minority (excl.White Minorities)","2009/10","34,670"
"Ethnic minority (excl.White Minorities)","2010/11","58,010"
"Ethnic minority (excl.White Minorities)","2011/12","76,920"
"Ethnic minority (excl.White Minorities)","2012/13","83,500"
"Ethnic minority (excl.White Minorities)","2013/14","83,900"
"Ethnic minority (excl.White Minorities)","2014/15","90,700"
"Ethnic minority (excl.White Minorities)","2015/16","95,200"
