Date,Date type,Region,Region type,Ethncity,Ethncity type,Numerator,Numerator type,Denominator,Denominator type,Rate,Rate type
2011,Calendar Year,East,Government Region,All,All,"119,323",Average number of claimants a month matching geographic and ethnicity status,"3,719,075",Number of people in the population matching geographic and ethnicity status,3.2,Percentage of Numerator / Denominator
2012,Calendar Year,East,Government Region,All,All,"100,093",Average number of claimants a month matching geographic and ethnicity status,"3,708,367",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2013,Calendar Year,East,Government Region,All,All,"75,799",Average number of claimants a month matching geographic and ethnicity status,"3,712,614",Number of people in the population matching geographic and ethnicity status,2.0,Percentage of Numerator / Denominator
2014,Calendar Year,East,Government Region,All,All,"63,689",Average number of claimants a month matching geographic and ethnicity status,"3,733,587",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2015,Calendar Year,East,Government Region,All,All,"55,784",Average number of claimants a month matching geographic and ethnicity status,"3,755,306",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2011,Calendar Year,East Midlands,Government Region,All,All,"109,739",Average number of claimants a month matching geographic and ethnicity status,"2,919,158",Number of people in the population matching geographic and ethnicity status,3.8,Percentage of Numerator / Denominator
2012,Calendar Year,East Midlands,Government Region,All,All,"89,907",Average number of claimants a month matching geographic and ethnicity status,"2,912,231",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2013,Calendar Year,East Midlands,Government Region,All,All,"67,286",Average number of claimants a month matching geographic and ethnicity status,"2,912,966",Number of people in the population matching geographic and ethnicity status,2.3,Percentage of Numerator / Denominator
2014,Calendar Year,East Midlands,Government Region,All,All,"56,408",Average number of claimants a month matching geographic and ethnicity status,"2,923,197",Number of people in the population matching geographic and ethnicity status,1.9,Percentage of Numerator / Denominator
2015,Calendar Year,East Midlands,Government Region,All,All,"50,533",Average number of claimants a month matching geographic and ethnicity status,"2,937,792",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2011,Calendar Year,All,England and Wales,All,All,"1,512,264",Average number of claimants a month matching geographic and ethnicity status,"36,288,896",Number of people in the population matching geographic and ethnicity status,4.2,Percentage of Numerator / Denominator
2012,Calendar Year,All,England and Wales,All,All,"1,225,102",Average number of claimants a month matching geographic and ethnicity status,"36,238,632",Number of people in the population matching geographic and ethnicity status,3.4,Percentage of Numerator / Denominator
2013,Calendar Year,All,England and Wales,All,All,"908,561",Average number of claimants a month matching geographic and ethnicity status,"36,278,017",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
