"Standard Ethnicity","Year and quarter",""
"Asian","2011 Q1","2.84"
"Asian","2011 Q2","2.74"
"Asian","2011 Q3","2.77"
"Asian","2011 Q4","2.77"
"Asian","2012 Q1","2.89"
"Asian","2012 Q2","2.86"
"Asian","2012 Q3","2.92"
"Asian","2012 Q4","3.03"
"Asian","2013 Q1","3.05"
"Asian","2013 Q2","3.06"
"Asian","2013 Q3","3.11"
"Asian","2013 Q4","2.99"
"Asian","2014 Q1","3.09"
"Asian","2014 Q2","3.10"
"Asian","2014 Q3","3.05"
"Asian","2014 Q4","3.16"
"Asian","2015 Q1","3.30"
"Asian","2015 Q2","3.24"
"Asian","2015 Q3","3.33"
"Black","2011 Q1","3.00"
"Black","2011 Q2","2.98"
"Black","2011 Q3","2.94"
"Black","2011 Q4","2.91"
"Black","2012 Q1","2.97"
"Black","2012 Q2","3.01"
"Black","2012 Q3","3.08"
"Black","2012 Q4","3.11"
"Black","2013 Q1","3.12"
"Black","2013 Q2","3.16"
"Black","2013 Q3","3.16"
"Black","2013 Q4","3.21"
"Black","2014 Q1","3.24"
"Black","2014 Q2","3.26"
"Black","2014 Q3","3.27"
"Black","2014 Q4","3.42"
"Black","2015 Q1","3.45"
"Black","2015 Q2","3.37"
"Black","2015 Q3","3.42"
"White","2011 Q1","3.34"
"White","2011 Q2","3.36"
"White","2011 Q3","3.35"
"White","2011 Q4","3.38"
"White","2012 Q1","3.38"
"White","2012 Q2","3.46"
"White","2012 Q3","3.48"
"White","2012 Q4","3.54"
"White","2013 Q1","3.56"
"White","2013 Q2","3.63"
"White","2013 Q3","3.60"
"White","2013 Q4","3.64"
"White","2014 Q1","3.68"
"White","2014 Q2","3.72"
"White","2014 Q3","3.72"
"White","2014 Q4","3.78"
"White","2015 Q1","3.76"
"White","2015 Q2","3.79"
"White","2015 Q3","3.81"
"Other","2011 Q1","2.95"
"Other","2011 Q2","2.81"
"Other","2011 Q3","2.66"
"Other","2011 Q4","2.85"
"Other","2012 Q1","2.82"
"Other","2012 Q2","2.89"
"Other","2012 Q3","2.98"
"Other","2012 Q4","2.75"
"Other","2013 Q1","2.81"
"Other","2013 Q2","2.92"
"Other","2013 Q3","2.91"
"Other","2013 Q4","2.79"
"Other","2014 Q1","2.85"
"Other","2014 Q2","3.02"
"Other","2014 Q3","2.91"
"Other","2014 Q4","3.13"
"Other","2015 Q1","3.01"
"Other","2015 Q2","3.10"
"Other","2015 Q3","3.08"
"Unknown","2011 Q1","2.62"
"Unknown","2011 Q2","2.85"
"Unknown","2011 Q3","2.83"
"Unknown","2011 Q4","2.93"
"Unknown","2012 Q1","2.63"
"Unknown","2012 Q2","2.86"
"Unknown","2012 Q3","2.38"
"Unknown","2012 Q4","2.82"
"Unknown","2013 Q1","2.83"
"Unknown","2013 Q2","2.83"
"Unknown","2013 Q3","2.70"
"Unknown","2013 Q4","2.82"
"Unknown","2014 Q1","3.08"
"Unknown","2014 Q2","3.12"
"Unknown","2014 Q3","3.12"
"Unknown","2014 Q4","2.96"
"Unknown","2015 Q1","2.81"
"Unknown","2015 Q2","2.70"
"Unknown","2015 Q3","2.74"
