"Title","Percentage of offenders who reoffended by ethnicity over time"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Race and the criminal justice system 2016"
"Data source link","https://www.gov.uk/government/statistics/race-and-the-criminal-justice-system-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"","Asian","","Black","","White","","Other","","Unknown",""
"Year and quarter","%","Number of reoffenders","%","Number of reoffenders","%","Number of reoffenders","%","Number of reoffenders","%","Number of reoffenders"
"2011 Q1","25.6","2,457","34.7","5,434","32.6","49,054","21.0","479","10.4","456"
"2011 Q2","25.0","2,324","34.9","5,330","32.7","48,015","21.1","443","10.1","447"
"2011 Q3","24.0","2,229","33.7","5,201","32.7","49,053","21.3","420","9.1","425"
"2011 Q4","23.9","2,095","34.0","4,913","31.9","44,918","20.2","405","9.7","437"
"2012 Q1","23.9","2,137","33.6","4,892","31.8","44,846","21.2","431","9.3","402"
"2012 Q2","24.3","2,016","34.3","4,551","31.7","41,618","21.2","391","8.8","366"
"2012 Q3","23.5","2,002","33.8","4,641","31.8","43,056","21.5","399","9.2","414"
"2012 Q4","24.4","2,017","33.9","4,500","31.8","40,370","20.3","378","8.8","387"
"2013 Q1","23.8","1,905","34.1","4,483","32.5","40,197","23.3","422","8.9","387"
"2013 Q2","24.3","1,941","34.4","4,434","32.8","40,106","21.2","379","9.8","401"
"2013 Q3","23.5","1,944","34.6","4,608","32.6","40,659","23.5","408","9.1","387"
"2013 Q4","24.0","1,956","33.6","4,309","31.8","38,630","20.8","359","7.9","378"
"2014 Q1","23.8","1,903","33.6","4,309","31.8","38,658","22.6","405","7.9","408"
"2014 Q2","23.6","1,753","33.2","4,087","31.8","36,446","21.7","350","7.3","357"
"2014 Q3","24.0","1,832","32.6","4,142","31.6","36,541","20.9","342","6.8","341"
"2014 Q4","23.6","1,749","33.6","4,090","31.0","34,220","18.9","297","7.3","366"
"2015 Q1","23.8","1,809","33.6","4,138","30.5","33,747","21.6","360","6.7","349"
"2015 Q2","23.5","1,666","33.9","4,185","30.7","32,940","20.5","307","6.2","321"
"2015 Q3","23.5","1,698","33.4","4,073","30.4","32,230","21.0","325","6.2","324"
