"Standard Ethnicity","Year and quarter","%","Number of reoffenders"
"Asian","2011 Q1","25.6","2,457"
"Asian","2011 Q2","25.0","2,324"
"Asian","2011 Q3","24.0","2,229"
"Asian","2011 Q4","23.9","2,095"
"Asian","2012 Q1","23.9","2,137"
"Asian","2012 Q2","24.3","2,016"
"Asian","2012 Q3","23.5","2,002"
"Asian","2012 Q4","24.4","2,017"
"Asian","2013 Q1","23.8","1,905"
"Asian","2013 Q2","24.3","1,941"
"Asian","2013 Q3","23.5","1,944"
"Asian","2013 Q4","24.0","1,956"
"Asian","2014 Q1","23.8","1,903"
"Asian","2014 Q2","23.6","1,753"
"Asian","2014 Q3","24.0","1,832"
"Asian","2014 Q4","23.6","1,749"
"Asian","2015 Q1","23.8","1,809"
"Asian","2015 Q2","23.5","1,666"
"Asian","2015 Q3","23.5","1,698"
"Black","2011 Q1","34.7","5,434"
"Black","2011 Q2","34.9","5,330"
"Black","2011 Q3","33.7","5,201"
"Black","2011 Q4","34.0","4,913"
"Black","2012 Q1","33.6","4,892"
"Black","2012 Q2","34.3","4,551"
"Black","2012 Q3","33.8","4,641"
"Black","2012 Q4","33.9","4,500"
"Black","2013 Q1","34.1","4,483"
"Black","2013 Q2","34.4","4,434"
"Black","2013 Q3","34.6","4,608"
"Black","2013 Q4","33.6","4,309"
"Black","2014 Q1","33.6","4,309"
"Black","2014 Q2","33.2","4,087"
"Black","2014 Q3","32.6","4,142"
"Black","2014 Q4","33.6","4,090"
"Black","2015 Q1","33.6","4,138"
"Black","2015 Q2","33.9","4,185"
"Black","2015 Q3","33.4","4,073"
"White","2011 Q1","32.6","49,054"
"White","2011 Q2","32.7","48,015"
"White","2011 Q3","32.7","49,053"
"White","2011 Q4","31.9","44,918"
"White","2012 Q1","31.8","44,846"
"White","2012 Q2","31.7","41,618"
"White","2012 Q3","31.8","43,056"
"White","2012 Q4","31.8","40,370"
"White","2013 Q1","32.5","40,197"
"White","2013 Q2","32.8","40,106"
"White","2013 Q3","32.6","40,659"
"White","2013 Q4","31.8","38,630"
"White","2014 Q1","31.8","38,658"
"White","2014 Q2","31.8","36,446"
"White","2014 Q3","31.6","36,541"
"White","2014 Q4","31.0","34,220"
"White","2015 Q1","30.5","33,747"
"White","2015 Q2","30.7","32,940"
"White","2015 Q3","30.4","32,230"
"Other","2011 Q1","21.0","479"
"Other","2011 Q2","21.1","443"
"Other","2011 Q3","21.3","420"
"Other","2011 Q4","20.2","405"
"Other","2012 Q1","21.2","431"
"Other","2012 Q2","21.2","391"
"Other","2012 Q3","21.5","399"
"Other","2012 Q4","20.3","378"
"Other","2013 Q1","23.3","422"
"Other","2013 Q2","21.2","379"
"Other","2013 Q3","23.5","408"
"Other","2013 Q4","20.8","359"
"Other","2014 Q1","22.6","405"
"Other","2014 Q2","21.7","350"
"Other","2014 Q3","20.9","342"
"Other","2014 Q4","18.9","297"
"Other","2015 Q1","21.6","360"
"Other","2015 Q2","20.5","307"
"Other","2015 Q3","21.0","325"
"Unknown","2011 Q1","10.4","456"
"Unknown","2011 Q2","10.1","447"
"Unknown","2011 Q3","9.1","425"
"Unknown","2011 Q4","9.7","437"
"Unknown","2012 Q1","9.3","402"
"Unknown","2012 Q2","8.8","366"
"Unknown","2012 Q3","9.2","414"
"Unknown","2012 Q4","8.8","387"
"Unknown","2013 Q1","8.9","387"
"Unknown","2013 Q2","9.8","401"
"Unknown","2013 Q3","9.1","387"
"Unknown","2013 Q4","7.9","378"
"Unknown","2014 Q1","7.9","408"
"Unknown","2014 Q2","7.3","357"
"Unknown","2014 Q3","6.8","341"
"Unknown","2014 Q4","7.3","366"
"Unknown","2015 Q1","6.7","349"
"Unknown","2015 Q2","6.2","321"
"Unknown","2015 Q3","6.2","324"
