"NS-SEC","Ethnicity",""
"Higher managerial and professional","All","7.98"
"Higher managerial and professional","Arab","8.30"
"Higher managerial and professional","Bangladeshi","8.16"
"Higher managerial and professional","Chinese","7.98"
"Higher managerial and professional","Indian","7.94"
"Higher managerial and professional","Pakistani","7.90"
"Higher managerial and professional","Asian other","7.92"
"Higher managerial and professional","Black","7.87"
"Higher managerial and professional","Mixed","7.85"
"Higher managerial and professional","White","7.98"
"Higher managerial and professional","White Gypsy/Traveller","?"
"Higher managerial and professional","Other","8.11"
"Lower managerial and professional","All","8.03"
"Lower managerial and professional","Arab","7.77"
"Lower managerial and professional","Bangladeshi","7.53"
"Lower managerial and professional","Chinese","7.62"
"Lower managerial and professional","Indian","7.96"
"Lower managerial and professional","Pakistani","7.95"
"Lower managerial and professional","Asian other","7.94"
"Lower managerial and professional","Black","7.87"
"Lower managerial and professional","Mixed","7.87"
"Lower managerial and professional","White","8.05"
"Lower managerial and professional","White Gypsy/Traveller","?"
"Lower managerial and professional","Other","7.92"
"Intermediate occupations","All","7.90"
"Intermediate occupations","Arab","?"
"Intermediate occupations","Bangladeshi","8.01"
"Intermediate occupations","Chinese","7.45"
"Intermediate occupations","Indian","7.89"
"Intermediate occupations","Pakistani","7.98"
"Intermediate occupations","Asian other","7.83"
"Intermediate occupations","Black","7.80"
"Intermediate occupations","Mixed","7.95"
"Intermediate occupations","White","7.91"
"Intermediate occupations","White Gypsy/Traveller","?"
"Intermediate occupations","Other","7.77"
"Small employers and own account workers","All","7.99"
"Small employers and own account workers","Arab","?"
"Small employers and own account workers","Bangladeshi","7.94"
"Small employers and own account workers","Chinese","7.85"
"Small employers and own account workers","Indian","8.01"
"Small employers and own account workers","Pakistani","7.75"
"Small employers and own account workers","Asian other","7.56"
"Small employers and own account workers","Black","7.66"
"Small employers and own account workers","Mixed","7.65"
"Small employers and own account workers","White","8.02"
"Small employers and own account workers","White Gypsy/Traveller","?"
"Small employers and own account workers","Other","7.83"
"Lower supervisory and technical","All","7.85"
"Lower supervisory and technical","Arab","?"
"Lower supervisory and technical","Bangladeshi","7.98"
"Lower supervisory and technical","Chinese","?"
"Lower supervisory and technical","Indian","7.83"
"Lower supervisory and technical","Pakistani","7.78"
"Lower supervisory and technical","Asian other","7.57"
"Lower supervisory and technical","Black","7.47"
"Lower supervisory and technical","Mixed","7.50"
"Lower supervisory and technical","White","7.86"
"Lower supervisory and technical","White Gypsy/Traveller","?"
"Lower supervisory and technical","Other","7.94"
"Semi-routine occupations","All","7.77"
"Semi-routine occupations","Arab","7.42"
"Semi-routine occupations","Bangladeshi","7.47"
"Semi-routine occupations","Chinese","7.40"
"Semi-routine occupations","Indian","7.70"
"Semi-routine occupations","Pakistani","7.79"
"Semi-routine occupations","Asian other","7.87"
"Semi-routine occupations","Black","7.54"
"Semi-routine occupations","Mixed","7.46"
"Semi-routine occupations","White","7.80"
"Semi-routine occupations","White Gypsy/Traveller","?"
"Semi-routine occupations","Other","7.45"
"Routine occupations","All","7.66"
"Routine occupations","Arab","?"
"Routine occupations","Bangladeshi","7.72"
"Routine occupations","Chinese","?"
"Routine occupations","Indian","7.74"
"Routine occupations","Pakistani","7.68"
"Routine occupations","Asian other","7.59"
"Routine occupations","Black","7.57"
"Routine occupations","Mixed","7.26"
"Routine occupations","White","7.66"
"Routine occupations","White Gypsy/Traveller","?"
"Routine occupations","Other","7.64"
"Never worked, unemployed, and nec","All","7.68"
"Never worked, unemployed, and nec","Arab","7.86"
"Never worked, unemployed, and nec","Bangladeshi","7.74"
"Never worked, unemployed, and nec","Chinese","7.84"
"Never worked, unemployed, and nec","Indian","7.78"
"Never worked, unemployed, and nec","Pakistani","7.85"
"Never worked, unemployed, and nec","Asian other","7.65"
"Never worked, unemployed, and nec","Black","7.57"
"Never worked, unemployed, and nec","Mixed","7.59"
"Never worked, unemployed, and nec","White","7.68"
"Never worked, unemployed, and nec","White Gypsy/Traveller","?"
"Never worked, unemployed, and nec","Other","7.51"
