"Title","‘Very high’ levels of feeling the things you do in your life are worthwhile, by ethnicity over time"
"Location","UK"
"Time period","2012 to 2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeingworthwhile"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"","2012","2013","2014","2015","2016","2017"
"","%","%","%","%","%","%"
"All","31.50","32.33","33.86","34.46","34.92","35.70"
"Arab","27.39","27.21","25.00","36.89","33.44","32.67"
"Bangladeshi","28.51","32.04","34.78","35.69","30.89","34.71"
"Chinese","22.63","20.40","26.21","27.67","25.98","24.23"
"Indian","31.63","30.69","31.39","33.91","33.82","34.40"
"Pakistani","30.95","30.77","34.36","34.49","35.89","37.91"
"Asian other","29.58","32.28","33.75","30.68","33.89","34.09"
"Black","30.07","31.84","33.27","33.46","33.33","35.44"
"Mixed","27.34","35.63","29.10","31.83","32.02","30.32"
"White","31.73","32.51","34.08","34.63","35.15","35.89"
"White Gypsy/Traveller","?","?","?","?","?","?"
"Other","27.17","28.80","31.20","31.47","32.97","35.54"
