"Title","Feeling the things you do in your life are worthwhile: thresholds, by ethnicity"
"Location","UK"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeingworthwhile"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"Threshold","Ethnicity","%"
"Very High (9-10)","All","35.70"
"Very High (9-10)","Arab","32.67"
"Very High (9-10)","Bangladeshi","34.71"
"Very High (9-10)","Chinese","24.23"
"Very High (9-10)","Indian","34.40"
"Very High (9-10)","Pakistani","37.91"
"Very High (9-10)","Asian other","34.09"
"Very High (9-10)","Black","35.44"
"Very High (9-10)","Mixed","30.32"
"Very High (9-10)","White","35.89"
"Very High (9-10)","White Gypsy/Traveller","?"
"Very High (9-10)","Other","35.54"
"High (7-8)","All","48.61"
"High (7-8)","Arab","46.00"
"High (7-8)","Bangladeshi","44.87"
"High (7-8)","Chinese","58.91"
"High (7-8)","Indian","50.83"
"High (7-8)","Pakistani","43.85"
"High (7-8)","Asian other","48.07"
"High (7-8)","Black","43.69"
"High (7-8)","Mixed","50.49"
"High (7-8)","White","48.73"
"High (7-8)","White Gypsy/Traveller","?"
"High (7-8)","Other","48.61"
"Medium (5-6)","All","12.06"
"Medium (5-6)","Arab","16.90"
"Medium (5-6)","Bangladeshi","13.96"
"Medium (5-6)","Chinese","14.24"
"Medium (5-6)","Indian","12.15"
"Medium (5-6)","Pakistani","15.50"
"Medium (5-6)","Asian other","15.50"
"Medium (5-6)","Black","15.94"
"Medium (5-6)","Mixed","15.03"
"Medium (5-6)","White","11.75"
"Medium (5-6)","White Gypsy/Traveller","?"
"Medium (5-6)","Other","13.21"
"Low (0-4)","All","3.63"
"Low (0-4)","Arab","?"
"Low (0-4)","Bangladeshi","?"
"Low (0-4)","Chinese","?"
"Low (0-4)","Indian","2.62"
"Low (0-4)","Pakistani","2.82"
"Low (0-4)","Asian other","?"
"Low (0-4)","Black","4.93"
"Low (0-4)","Mixed","?"
"Low (0-4)","White","3.63"
"Low (0-4)","White Gypsy/Traveller","?"
"Low (0-4)","Other","2.65"
