"Title","Police workforce by ethnicity and type of police work"
"Location","England and Wales"
"Time period","2017"
"Data source","Police workforce, England and Wales, 31 March 2017"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Rank","Ethnicity","%","Number of officers"
"Community support officer","Asian","4.0","400"
"Community support officer","Black","2.9","284"
"Community support officer","Mixed","1.5","146"
"Community support officer","White","90.4"," 8,974 "
"Community support officer","Other","1.2","118"
"Community support officer","Unknown","N/A","290"
"Designated Officer","Asian","2.6","106"
"Designated Officer","Black","2.8","114"
"Designated Officer","Mixed","1.4","57"
"Designated Officer","White","92.3"," 3,708 "
"Designated Officer","Other","0.8","32"
"Designated Officer","Unknown","N/A","237"
"Police Officer","Asian","2.6"," 3,104 "
"Police Officer","Black","1.2"," 1,432 "
"Police Officer","Mixed","1.8"," 2,185 "
"Police Officer","White","93.7"," 112,954 "
"Police Officer","Other","0.7","851"
"Police Officer","Unknown","N/A"," 2,616 "
"Police Staff","Asian","3.1"," 1,825 "
"Police Staff","Black","2.2"," 1,266 "
"Police Staff","Mixed","1.0","570"
"Police Staff","White","93.1"," 53,991 "
"Police Staff","Other","0.6","368"
"Police Staff","Unknown","N/A"," 3,043 "
"Special Constable","Asian","6.2","784"
"Special Constable","Black","1.8","230"
"Special Constable","Mixed","2.1","261"
"Special Constable","White","88.5"," 11,112 "
"Special Constable","Other","1.3","169"
"Special Constable","Unknown","N/A","947"
"Traffic Warden","Asian","0.0"," -   "
"Traffic Warden","Black","0.0"," -   "
"Traffic Warden","Mixed","0.0"," -   "
"Traffic Warden","White","100.0","11"
"Traffic Warden","Other","0.0"," -   "
"Traffic Warden","Unknown","N/A"," -   "
