"Title","Police workforce by ethnicity over time "
"Location","England and Wales"
"Time period","2007 to 2017"
"Data source","Police workforce, England and Wales, 31 March 2017"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","20/07/17"

"","Asian","","Black","","Mixed","","White","","Other","","Unknown",""
"Year","% of police officers","Number of police officers ","% of police officers","Number of police officers ","% of police officers","Number of police officers ","% of police officers","Number of police officers ","% of police officers","Number of police officers ","% of police officers","Number of police officers "
"2007","1.5"," 2,111 ","1.0"," 1,350 ","1.0"," 1,419 ","96.1"," 134,372 ","0.5","632","N/A"," 1,999 "
"2008","1.6"," 2,231 ","1.0"," 1,371 ","1.1"," 1,525 ","95.9"," 134,000 ","0.5","656","N/A"," 1,920 "
"2009","1.7"," 2,472 ","1.0"," 1,427 ","1.2"," 1,699 ","95.6"," 135,651 ","0.5","689","N/A"," 1,839 "
"2010","1.8"," 2,607 ","1.0"," 1,446 ","1.3"," 1,844 ","95.3"," 135,293 ","0.5","745","N/A"," 1,799 "
"2011","1.9"," 2,582 ","1.0"," 1,442 ","1.3"," 1,838 ","95.2"," 130,870 ","0.5","754","N/A"," 1,625 "
"2012","2.0"," 2,607 ","1.1"," 1,420 ","1.4"," 1,871 ","95.0"," 125,579 ","0.6","766","N/A"," 1,858 "
"2013","2.0"," 2,563 ","1.1"," 1,361 ","1.5"," 1,865 ","94.9"," 121,086 ","0.6","749","N/A"," 1,961 "
"2014","2.1"," 2,665 ","1.1"," 1,352 ","1.5"," 1,922 ","94.7"," 119,071 ","0.6","776","N/A"," 2,124 "
"2015","2.2"," 2,795 ","1.1"," 1,373 ","1.6"," 2,028 ","94.4"," 117,757 ","0.6","785","N/A"," 2,079 "
"2016","2.4"," 2,881 ","1.2"," 1,433 ","1.7"," 2,096 ","94.1"," 114,437 ","0.7","808","N/A"," 2,411 "
"2017","2.6"," 3,104 ","1.2"," 1,432 ","1.8"," 2,185 ","93.7"," 112,954 ","0.7","851","N/A"," 2,616 "
