"Title","New social housing lettings by ethnicity and local authority"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Income","Geography_code","Geography_name","Geography_type","Age","Value","Numerator","Population estimate"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000001","Hartlepool","Local Authority","All","98.1","1318","97.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000002","Middlesbrough","Local Authority","All","91.9","1834","87.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000003","Redcar and Cleveland","Local Authority","All","97.7","1738","98.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000004","Stockton-on-Tees","Local Authority","All","94","1463","94.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000005","Darlington","Local Authority","All","96.7","1083","96"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000006","Halton","Local Authority","All","98","1457","97.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000007","Warrington","Local Authority","All","92.7","1329","95.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000008","Blackburn with Darwen","Local Authority","All","85.4","1317","67.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000009","Blackpool","Local Authority","All","97.9","1025","96.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000010","Kingston upon Hull, City of","Local Authority","All","93.6","3804","93.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000011","East Riding of Yorkshire","Local Authority","All","99","1344","97.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000012","North East Lincolnshire","Local Authority","All","98.5","1591","97.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000013","North Lincolnshire","Local Authority","All","97.4","1370","95.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000014","York","Local Authority","All","96","906","94"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000015","Derby","Local Authority","All","79.9","1720","79.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000016","Leicester","Local Authority","All","62.1","1608","49.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000017","Rutland","Local Authority","All","94.7","161","97.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000018","Nottingham","Local Authority","All","71.6","2655","69.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000019","Herefordshire, County of","Local Authority","All","98.7","947","98.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000020","Telford and Wrekin","Local Authority","All","95","1320","92.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000021","Stoke-on-Trent","Local Authority","All","86.2","3023","87.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000022","Bath and North East Somerset","Local Authority","All","94.6","989","94.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000023","Bristol, City of","Local Authority","All","76.6","2875","82.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000024","North Somerset","Local Authority","All","95.1","940","97.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000025","South Gloucestershire","Local Authority","All","92.3","971","94.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000026","Plymouth","Local Authority","All","94.5","1895","96"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000027","Torbay","Local Authority","All","97.5","741","97.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000028","Bournemouth","Local Authority","All","92.3","776","91.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000029","Poole","Local Authority","All","97.9","458","95.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000030","Swindon","Local Authority","All","89.2","1460","89.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000031","Peterborough","Local Authority","All","85","1336","81.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000032","Luton","Local Authority","All","57.8","671","52.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000033","Southend-on-Sea","Local Authority","All","91.9","733","91.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000034","Thurrock","Local Authority","All","86.9","839","84.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000035","Medway","Local Authority","All","91.5","1279","89.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000036","Bracknell Forest","Local Authority","All","92.5","516","90.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000037","West Berkshire","Local Authority","All","94.8","797","94.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000038","Reading","Local Authority","All","71.9","559","73.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000039","Slough","Local Authority","All","51.4","385","44.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000040","Windsor and Maidenhead","Local Authority","All","84.8","407","85.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000041","Wokingham","Local Authority","All","84.5","240","87.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000042","Milton Keynes","Local Authority","All","74.6","942","78.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000043","Brighton and Hove","Local Authority","All","88.7","1222","88.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000044","Portsmouth","Local Authority","All","89.9","1340","87.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000045","Southampton","Local Authority","All","88.2","1964","85.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2015","2015/16","Financial year","White","White & Other","All","E06000046","Isle of Wight","Local Authority","All","99.3","689","97.2"
