"Title","Healthy eating of ‘5-a-day’ among adults by ethnicity"
"Location","England"
"Time period","2014 and 2015"
"Data source","Public Health Outcomes Framework http://www.phoutcomes.info/public-health-outcomes-framework#page/7/gid/1000042/pat/15/par/E92000001/ati/6/are/E12000004/iid/91477/age/164/sex/4"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Ethnicity","Value"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2014","White","55.1"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2014","Mixed","51.2"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2014","Asian","40.7"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2014","Black","38.9"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2014","Chinese","55.1"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2014","Other ethnicity","49.5"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2015","White","53.9"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2015","Mixed","52"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2015","Asian","40"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2015","Black","36.4"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2015","Chinese","49.6"
"Proportion of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2015","Other ethnicity","46.7"
"Percentage of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2014","All","53.5"
"Percentage of the population meeting the recommended '5-a-day' on a 'usual day' (adults)","2015","All","52.3"
